1||3|||6|||9||11|12||||||||20|21|22|23||25||27||29||31||33||35||37||39||41||43||45||47||||51|
13|'14_000013'|'ООО Петербургтеплоэнерго'|'ИТП'|'открытая'|'ООО ЖКС г.Петродворца'|'тепловая энергия'|'Гкал'|0||57|5.5|'130/70'|'нет'|'нет'||||||252.12|285.2|32.68|'Р'|32.68|'Р'|32.68|'Р'|32.68|'Р'|9.49|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|30.28|'Р'|30.28|'Р'|30.28|'Р'|231.05|0.14787|'130-70'|'зависимая'|1|
14|'14_000014'|'ООО Петербургтеплоэнерго'|'ИТП'|'открытая'|'ООО ЖКС г.Петродворца'|'тепловая энергия'|'Гкал'|0||57|5.5|'130/70'|'нет'|'нет'||||||248.69|290.1|36.01|'Р'|36.01|'Р'|36.01|'Р'|36.01|'Р'|10.45|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|34.27|'Р'|34.27|'Р'|34.27|'Р'|257.3|0.1445|'130-70'|'зависимая'|1|
15|'14_000015'|'ООО Петербургтеплоэнерго'|'ИТП'|'открытая'|'ООО ЖКС г.Петродворца'|'тепловая энергия'|'Гкал'|1||57|5.5|'130/70'|'нет'|'нет'||||||259.4|428.41|35.64|'Р'|35.64|'Р'|63.67|'Д'|28.63|'Д'|11.89|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|37.19|'Д'|37.02|'Д'|41.5|'Д'|291.18|0.15084|'130-70'|'зависимая'|1|
16|'14_000016'|'ООО Петербургтеплоэнерго'|'ИТП'|'открытая'|'ООО ЖКС г.Петродворца'|'тепловая энергия'|'Гкал'|1||76|5.5|'130/70'|'нет'|'нет'||||||178.64|282.2|41.82|'Р'|41.54|'Р'|41.54|'Р'|41.54|'Р'|12.06|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|28.26|'Д'|26.52|'Д'|39.1|'Д'|272.38|0.104|'130-70'|'зависимая'|1|
17|'14_000017'|'ООО Петербургтеплоэнерго'|'ИТП'|'открытая'|'ООО ЖКС г.Петродворца'|'тепловая энергия'|'Гкал'|1||76|5.5|'130/70'|'нет'|'нет'||||||432.24|624.52|100.51|'Д'|70.33|'Д'|83.84|'Д'|41.94|'Д'|19.92|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|48.67|'Д'|41.38|'Д'|55.64|'Д'|462.23|0.225|'130-70'|'зависимая'|1|
18|'14_000018'|'ООО Петербургтеплоэнерго'|'ИТП'|'открытая'|'ООО ЖКС г.Петродворца'|'тепловая энергия'|'Гкал'|0||76|5.5|'130/70'|'нет'|'нет'||||||297.52|305.2|38.75|'Р'|38.75|'Р'|38.75|'Р'|38.75|'Р'|11.25|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|30.68|'Д'|37.99|'Д'|56.02|'Д'|290.94|0.149|'130-70'|'зависимая'|0|
23|'14_000023'|'ООО Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС г. Ломоносова'|'тепловая энергия'|'Гкал'|1||50|5.5|'95/70'|'нет'|'нет'||||||138.41|118.65|12.8|'Д'|15.82|'Д'|22.69|'Д'|8.59|'Д'|3.72|'Д'|0|'Р'|0|'Р'|0|'Р'|0||10.55|'Д'|13.45|'Д'|9.86|'Д'|97.48|0.07126|'95-70'|'зависимая'|0|
24|'14_000024'|'ООО Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС г. Ломоносова'|'тепловая энергия'|'Гкал'|1||65|5.5|'95/70'|'да'|'нет'||||||223.79|210.8|45.68|'Д'|28.08|'Д'|43.86|'Д'|20.37|'Д'|6.46|'Д'|0|'Р'|0|'Р'|0|'Р'|0||20.57|'Д'|17.39|'Д'|24|'Д'|206.41|0.21565|'95-70'|'зависимая'|0|
25|'14_000025'|'ООО Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС г. Ломоносова'|'тепловая энергия'|'Гкал'|1||65|5.5|'95/70'|'нет'|'нет'||||||237.28|264.4|55.71|'Д'|22.83|'Д'|22.83|'Д'|24.98|'Д'|6.63|'Д'|0|'Р'|0|'Р'|0|'Р'|0||23.62|'Д'|22.05|'Д'|30.96|'Д'|209.61|0.14051|'95-70'|'зависимая'|0|
27|'14_000027'|'ООО Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС г. Ломоносова'|'тепловая энергия'|'Гкал'|1||80|5.5|'95/70'|'нет'|'нет'||||||553.72|509.47|67.55|'Р'|67.55|'Д'|67.55|'Д'|47.28|'Д'|19.61|'Д'|0|'Р'|0|'Р'|0|'Р'|0||73.77|'Д'|29.28|'Д'|59.54|'Д'|432.13|0.20475|'95-70'|'зависимая'|0|'разгружен'
28|'14_000028'|'ООО Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС г. Ломоносова'|'тепловая энергия'|'Гкал'|1||80|5.5|'95/70'|'нет'|'нет'||||||460.32|484.22|64.58|'Р'|64.58|'Д'|64.58|'Д'|42.92|'Д'|18.75|'Д'|0|'Р'|0|'Р'|0|'Р'|0||38.94|'Д'|38.39|'Д'|54.67|'Д'|387.41|0.20876|'95-70'|'зависимая'|0|'не разгружен'
29|'14_000029'|'ООО Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС г. Ломоносова'|'тепловая энергия'|'Гкал'|1||80|5.5|'95/70'|'нет'|'нет'||||||614.14|588.85|99.79|'Д'|84.16|'Д'|105.93|'Д'|33.39|'Д'|24.16|'Д'|0|'Р'|0|'Р'|0|'Р'|0||56.36|'Д'|48.64|'Д'|67.73|'Д'|520.16|0.17564|'95-70'|'зависимая'|0|'не разгружен'
30|'14_000030'|'ООО Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС г. Ломоносова'|'тепловая энергия'|'Гкал'|1||65|5.5|'95/70'|'нет'|'нет'||||||238.71|288.54|33.52|'Р'|39.75|'Д'|59.57|'Д'|20|'Д'|9.73|'Д'|0|'Р'|0|'Р'|0|'Р'|0||22.19|'Д'|22.31|'Д'|32.65|'Д'|239.72|0.13248|'95-70'|'зависимая'|0|'не разгружен'
31|'14_000031'|'ООО Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС г. Ломоносова'|'тепловая энергия'|'Гкал'|1||65|5.5|'95/70'|'нет'|'нет'||||||331.07|285.85|32.08|'Р'|42.52|'Д'|61.79|'Д'|23.68|'Д'|9.31|'Д'|0|'Р'|0|'Р'|0|'Р'|0||25.75|'Д'|25.73|'Д'|35.52|'Д'|256.38|0.13248|'95-70'|'зависимая'|0|'не разгружен'
