||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
9|'18_137'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'|'? 65 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||400,28|428,85|55,02|'Р'|55,02|'Р'|55,02|'Р'|55,02|'Р'|17,75|'Р'|||||||9,84|'Р'|49,19|'Р'|49,19|'Р'|49,19|'Р'|1224,37|0,19772||'зависимая'|0|'отсутствует'
10|'18_138'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'да'|'нет'|'да'|'нет'|'зависимая'|'нет'||1581,86|1461,1|195,47|'Р'|199,28|'Р'|201,11|'Р'|202,71|'Р'|87,23|'Р'|32,03|'Р'|32,44|'Р'|32,44|'Р'|31,14|'Р'|184,01|'Д'|184,02|'Д'|184,69|'Д'|4609,53|0,59481||'зависимая'|0|'разгружен'
11|'18_139'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||1109,34|1304,85|160,04|'Р'|160,04|'Р'|160,04|'Р'|160,04|'Р'|46,47|'Р'|||||||5,2|'Р'|155,92|'Д'|155,92|'Д'|155,92|'Д'|3573,78|0,56708||'зависимая'|0|'разгружен'
12|'18_140'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||390,68|413,4|77,12|'Р'|33,43|'Р'|67,63|'Р'|46,92|'Р'|7,87|'Р'|||||||6,48|'Р'|36,23|'Р'|44,54|'Р'|68,23|'Р'|1192,53|0,19973||'зависимая'|0|'разгружен'
13|'18_252'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||389,32|433,8|62,49|'Р'|62,49|'Р'|62,49|'Р'|62,49|'Р'|18,15|'Р'|||||||5,69|'Р'|56,76|'Р'|56,76|'Р'|56,76|'Р'|1267,2|0,06424||'зависимая'|0|'отсутствует'
14|'18_250'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||841,43|1104,25|146,77|'Р'|146,77|'Р'|146,77|'Р'|146,77|'Р'|42,62|'Р'|||||||13,99|'Р'|139,9|'Д'|139,9|'Д'|139,9|'Д'|3009,07|0,41652||'зависимая'|0|'разгружен'
15|'18_251'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||699,37|827,19|121,91|'Р'|111,62|'Р'|111,62|'Р'|111,61|'Р'|32,41|'Р'|||||||11,07|'Р'|110,77|'Д'|110,77|'Д'|110,78|'Д'|2359,12|0,37647||'зависимая'|0|'разгружен'
16|'18_21'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'|'? 65 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||329,15|369,24|49,27|'Р'|49,27|'Р'|49,27|'Р'|49,27|'Р'|15,9|'Р'|||||||8,17|'Р'|26,55|'Д'|34,59|'Д'|43,41|'Д'|1024,09|0,16661||'зависимая'|0|'разгружен'
17|'18_24'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||585,21|508,69|66,1|'Р'|57,92|'Р'|57,92|'Р'|57,92|'Р'|16,81|'Р'|||||||1,81|'Р'|54,5|'Д'|54,5|'Д'|52,74|'Д'|1514,12|0,30612||'зависимая'|0|'разгружен'
19|'18_44'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||180,16|161,84|16,09|'Р'|13,79|'Р'|13,79|'Р'|13,79|'Р'|4|'Р'|||||||2,58|'Р'|12,89|'Р'|12,89|'Р'|12,89|'Р'|444,71|0,08285||'зависимая'|0|'отсутствует'
20|'18_46'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||772|915,45|121,96|'Р'|121,96|'Р'|121,96|'Р'|121,96|'Р'|35,4|'Р'|||||||24,09|'Р'|120,44|'Д'|120,44|'Д'|120,44|'Д'|2596,1|0,35943||'зависимая'|0|'разгружен'
21|'18_32'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'|'? 125 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||1124,7|1113,44|228,72|'Д'|171,11|'Д'|232,28|'Д'|87,64|'Д'|45,93|'Д'|||||||0|'Д'|105,2|'Д'|121,3|'Д'|168,26|'Д'|3398,58|0,6333||'зависимая'|0|'разгружен'
