15|18251|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1|||6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||699.37|827.19|121.91|'Р'|111.62|'Р'|111.62|'Р'|111.61|'Р'|32.41|'Р'|||||||11.07|'Р'|110.77|'Д'|110.77|'Д'|110.78|'Д'||0.37647||'зависимая'|0|'разгружен'
16|1821|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1||65|6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||329.15|369.24|49.27|'Р'|49.27|'Р'|49.27|'Р'|49.27|'Р'|15.9|'Р'|||||||8.17|'Р'|26.55|'Д'|34.59|'Д'|43.41|'Д'||0.16661||'зависимая'|0|'разгружен'
17|1824|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1|||6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||585.21|508.69|66.1|'Р'|57.92|'Р'|57.92|'Р'|57.92|'Р'|16.81|'Р'|||||||1.81|'Р'|54.5|'Д'|54.5|'Д'|52.74|'Д'||0.30612||'зависимая'|0|'разгружен'
19|1844|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|0|||6.4|'95/70'|'нет'|'нет'|'нет'|'нет'||'нет'||180.16|161.84|16.09|'Р'|13.79|'Р'|13.79|'Р'|13.79|'Р'|4|'Р'|||||||2.58|'Р'|12.89|'Р'|12.89|'Р'|12.89|'Р'||0.08285||'зависимая'|0|'отсутствует'
20|1846|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1|||6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||772|915.45|121.96|'Р'|121.96|'Р'|121.96|'Р'|121.96|'Р'|35.4|'Р'|||||||24.09|'Р'|120.44|'Д'|120.44|'Д'|120.44|'Д'||0.35943||'зависимая'|0|'разгружен'
21|1832|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1||125|6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||1124.7|1113.44|228.72|'Д'|171.11|'Д'|232.28|'Д'|87.64|'Д'|45.93|'Д'|||||||0|'Д'|105.2|'Д'|121.3|'Д'|168.26|'Д'||0.6333||'зависимая'|0|'разгружен'
22|1833|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1||65|6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||321.8|312.98|74.46|'Д'|56.03|'Д'|77.23|'Д'|29.74|'Д'|15.36|'Д'|||||||0|'Д'|24.23|'Д'|37.85|'Д'|48.98|'Д'||0.17464||'зависимая'|0|'разгружен'
24|1853|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|0|||6.4|'95/70'|'нет'|'нет'|'нет'|'нет'||'нет'|||181.21|181.21|'Р'|180.52|'Р'|180.52|'Р'|180.52|'Р'|52.42|'Р'|||||||28.61|'Р'|171.59|'Р'|171.59|'Р'|171.59|'Р'||0.457582||'зависимая'|0|'отсутствует'
27|1856|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|0|||6.4|'95/70'|'нет'|'нет'|'нет'|'нет'||'нет'||885.3|1130.8|136.27|'Р'|136.27|'Р'|136.27|'Р'|136.27|'Р'|39.56|'Р'|||||||0|'Р'|125.61|'Р'|134.27|'Р'|134.27|'Р'||0.45266||'зависимая'|0|'отсутствует'
28|1857|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1|||6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||497.85|639.27|86.89|'Р'|80.58|'Р'|80.58|'Р'|80.58|'Р'|25.99|'Р'|||||||0|'Р'|55.74|'Д'|55.22|'Д'|74.16|'Д'||0.2523||'зависимая'|0|'разгружен'
29|1858|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1|||6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||495.13|691.34|91.55|'Р'|91.55|'Р'|91.55|'Р'|91.55|'Р'|29.53|'Р'|||||||0|'Р'|35.75|'Д'|40.59|'Д'|57.51|'Д'||0.25092||'зависимая'|0|'разгружен'
30|1859|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|0|||6.4|'95/70'|'нет'|'нет'|'нет'|'нет'||'нет'|||49.43|49.76|'Р'|48.81|'Р'|49.49|'Р'|47.73|'Р'|13.61|'Р'|||||||7.3|'Р'|43.73|'Р'|44.03|'Р'|44.8|'Р'||0.17966||'зависимая'|0|'отсутствует'
31|1855|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|0|||6.4|'95/70'|'нет'|'нет'|'нет'|'нет'||'нет'||961.89|1046.99|149.72|'Р'|146.33|'Р'|146.33|'Р'|146.33|'Р'|42.48|'Р'|||||||0|'Р'|122.81|'Р'|131.28|'Р'|131.28|'Р'||0.4918||'зависимая'|0|'отсутствует'
32|1867|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|0||65|6.4|'95/70'|'нет'|'нет'|'нет'|'нет'||'нет'||331.5|343.26|47.56|'Р'|47.56|'Р'|47.56|'Р'|47.56|'Р'|13.8|'Р'|||||||8.64|'Р'|43.23|'Р'|43.23|'Р'|41.83|'Р'||0.16962||'зависимая'|0|'отсутствует'
33|1868|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1||65|6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||319.34|272.34|58.34|'Д'|49.27|'Д'|55.86|'Д'|27.17|'Д'|14.69|'Д'|||||||0|'Д'|29.65|'Д'|34.83|'Д'|40.95|'Д'||0.1626||'зависимая'|0|'разгружен'
34|1869|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|0||65|6.4|'95/70'|'нет'|'нет'|'нет'|'нет'||'нет'||371.23|439.19|59.55|'Р'|59.55|'Р'|59.55|'Р'|59.55|'Р'|17.28|'Р'|||||||11.65|'Р'|58.24|'Р'|58.24|'Р'|56.36|'Р'||0.18768||'зависимая'|0|'отсутствует'
35|1870|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|0||65|6.4|'95/70'|'нет'|'нет'|'нет'|'нет'||'нет'||240.18|243.47|33.65|'Р'|33.65|'Р'|33.65|'Р'|33.65|'Р'|9.78|'Р'|||||||6.53|'Р'|32.64|'Р'|32.64|'Р'|31.59|'Р'||0.12144||'зависимая'|0|'отсутствует'
37|1873|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1||80|6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||408.92|506.21|52.34|'Р'|52.34|'Р'|52.34|'Р'|52.34|'Р'|15.2|'Р'|||||||0|'Р'|25.91|'Д'|38.02|'Д'|44.25|'Д'||0.20675||'зависимая'|0|'разгружен'
38|1877|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|1|||6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||387.58|483.01|63.02|'Р'|61.72|'Р'|61.72|'Р'|61.72|'Р'|17.91|'Р'|||||||1.89|'Р'|56.57|'Р'|56.57|'Р'|54.74|'Р'||0.20274||'зависимая'|0|'разгружен'
39|1878|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|2|||6.4|'95/70'|'нет'|'нет'|'да'|'нет'||'нет'||1082.21|867.56|98.63|'Р'|98.63|'Р'|98.63|'Р'|98.63|'Р'|28.64|'Р'|||||||0|'Р'|77.64|'Д'|88.14|'Д'|85.3|'Д'||0.33093||'зависимая'|'АУУ'|'разгружен'
40|1879|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'отопление'|'Гкал'|0|||6.4|'95/70'|'нет'|'нет'|'нет'|'нет'||'нет'||308.93|399.99|47.33|'Р'|47.33|'Р'|47.33|'Р'|47.33|'Р'|13.74|'Р'|||||||1.59|'Р'|47.75|'Р'|47.75|'Р'|46.21|'Р'||0.16159||'зависимая'|0|'отсутствует'
