||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
7|'13_1_7'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|32|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||424,76|471,68|94,62|'Д'|56,88|'Д'|80,8|'Д'|61,86|'Д'|20,82|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|52,62|'Д'|52,62|'Д'|33,46|'Д'|453,68|0,166|'95-70'|'зависимая'|0|0
8|'13_1_8'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||1067,3|1350,54|189,98|'Р'|189,59|'Р'|190,55|'Р'|181,72|'Р'|43,93|'Р'|0|'Р'|0|'Р'|0|'Р'|40,28|'Р'|172,63|'Р'|172,63|'Р'|172,63|'Р'|1353,94|0,4817|'95-70'|'зависимая'|0|0
9|'13_1_9'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||153,93|220,55|46,82|'Д'|28,56|'Д'|40,82|'Д'|28,62|'Д'|7,85|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|13,68|'Д'|17,89|'Д'|9,74|'Д'|193,98|0,2001|'95-70'|'зависимая'|0|0
10|'13_1_10'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||961,17|1084,95|149,54|'Р'|149,54|'Р'|149,54|'Р'|149,22|'Р'|43|'Р'|0|'Р'|0|'Р'|0|'Р'|34,21|'Р'|146,61|'Р'|146,61|'Р'|146,61|'Р'|1114,88|0,4818|'95-70'|'зависимая'|0|0
11|'13_1_11'|'"ОАО ""Ремонтно-эксплуатационное управление"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|0|'Местная'|32|5|'95-70'|'нет'|'нет'|0|0|'Двухтрубная'|0||0|0|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|0,17|'95-70'|'зависимая'|0|0
12|'13_1_12'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||1054,41|1066,91|207,29|'Д'|126,39|'Д'|184,58|'Д'|134,6|'Д'|39,16|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|70,38|'Д'|84,07|'Д'|119,52|'Д'|965,99|0,4494|'95-70'|'зависимая'|0|0
13|'13_1_13'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'||5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||1101,46|1327,02|182,94|'Р'|182,94|'Р'|182,94|'Р'|182,94|'Р'|53,11|'Р'|0|'Р'|0|'Р'|0|'Р'|41,65|'Р'|178,49|'Р'|178,49|'Р'|178,49|'Р'|1361,99|0,5521|'95-70'|'зависимая'|0|0
14|'13_1_14'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|2|'Местная'|50,5|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||2096,29|2024,22|319,71|'Д'|261,39|'Д'|431,84|'Д'|306,62|'Д'|87,58|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|211,59|'Д'|150,13|'Д'|267,44|'Д'|2036,3|0,8982|'95-70'|'зависимая'|0|0
15|'13_1_15'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||498,96|450,08|62,01|'Д'|62,01|'Д'|62,01|'Д'|62,01|'Д'|18,01|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|61,56|'Д'|61,56|'Д'|61,56|'Д'|450,73|0,2278|'95-70'|'зависимая'|0|0
16|'13_1_16'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||967,56|960,71|131,78|'Р'|131,78|'Р'|131,78|'Р'|131,78|'Р'|38,25|'Р'|0|'Р'|0|'Р'|0|'Р'|30,5|'Р'|130,72|'Р'|130,72|'Р'|130,72|'Р'|988,03|0,4125|'95-70'|'зависимая'|0|0
