19|7000036|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ЖКС №2'|'отопление'|'Гкал'|5|'центральная'|89|7|'130/70'|'да'|'нет'|'да'|'да'||'нет'||3012.47|3097.3|596.81|'Д'|550.62|'Д'|516.56|'Д'|379.32|'Д'|183.45|'Д'|||||||||283.41|'Д'|339.64|'Д'|389.17|'Д'|3238.98|1.423|'105-70'|'независимая'|4|'отсутствует'
20|7000037|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ЖКС №2'|'отопление'|'Гкал'|2|'центральная'|108|7|'130/70'|'да'|'нет'|'да'|'да'||'нет'||3009.18|3133.46|625.89|'Д'|575.1|'Д'|534.81|'Д'|374.5|'Д'|188.33|'Д'|||||||||283.16|'Д'|330.25|'Д'|389.15|'Д'|3301.19|1.423|'105-70'|'независимая'|4|'отсутствует'
21|7000038|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ЖКС №2'|'отопление'|'Гкал'|10|'центральная'|89|7|'150/70'|'да'|'нет'|'да'|'да'||'нет'||4624.07|4306.34|859.22|'Д'|780.56|'Д'|677.91|'Д'|502.5|'Д'|242.78|'Д'|||||||||486.72|'Д'|442.46|'Д'|532.03|'Д'|4524.18|2.29097|'105-70'|'независимая'|6|'отсутствует'
22|7000039|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ЖКС №2'|'отопление'|'Гкал'|8|'центральная'|108|7|'130/70'|'да'|'нет'|'да'|'да'||'нет'||4373.46|4309.83|789.78|'Д'|671.73|'Д'|645.53|'Д'|482.15|'Д'|250.13|'Д'|||||||||393.41|'Д'|399.62|'Д'|505.81|'Д'|4138.16|2.158|'95-70'|'независимая'|6|'отсутствует'
23|7000040|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ЖКС №2'|'отопление'|'Гкал'|3|'центральная'|89|7|'150/70'|'да'|'нет'|'да'|'да'||'нет'||2203.38|2192.18|424.12|'Д'|385.74|'Д'|353.36|'Д'|284.78|'Д'|135.12|'Д'|||||||||217.01|'Д'|221.4|'Д'|283.54|'Д'|2305.07|0.993|'95-70'|'независимая'|2|'отсутствует'
24|7000041|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ЖКС №2'|'отопление'|'Гкал'|3|'центральная'|89|7|'150/70'|'да'|'нет'|'да'|'да'||'нет'||2121.76|2138.1|412.76|'Д'|364.07|'Д'|340.21|'Д'|251.51|'Д'|130.67|'Д'|||||||||211.87|'Д'|219.77|'Д'|269.24|'Д'|2200.1|0.993|'95-70'|'независимая'|2|'отсутствует'
25|7000042|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ЖКС №2'|'отопление'|'Гкал'|0|'центральная'|108|6|'150/70'|'да'|'нет'|'нет'|'нет'||'нет'||94.76|379.11|89.9|'Д'|78.96|'Д'|77.97|'Д'|96.07|'Д'|56.36|'Д'|||||||||67.57|'Д'|79.14|'Д'|112.15|'Д'|658.12|0.179|'95-70'|'зависимая'|0|'отсутствует'
26|7000043|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ЖКС №2'|'отопление'|'Гкал'|0|'центральная'|108|6|'150/70'|'да'|'нет'|'нет'|'нет'||'нет'||54.88|413.28|63.1|'Р'|60.58|'Р'|62.15|'Р'|58.87|'Р'|23.26|'Р'|||||||||46.96|'Р'|57.47|'Р'|59.17|'Р'|431.56|0.149|'95-70'|'зависимая'|0|'отсутствует'
27|7000044|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ЖКС №2'|'отопление'|'Гкал'|2|'центральная'|89|7|'150/70'|'да'|'нет'|'да'|'да'||'нет'||1014.47|982.63|157.73|'Д'|138.43|'Д'|137.24|'Д'|91.75|'Д'|42.33|'Д'|||||||||71.23|'Д'|85.91|'Д'|124.3|'Д'|848.92|0.411|'95-70'|'зависимая'|2|'отсутствует'
28|7000050|'печное'|||'печное'|||0||0|0||'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||||0|'отсутствует'
29|7000052|'печное'|||'печное'|||0||0|0||'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||||0|'отсутствует'
30|7000055|'ГУП ТЭК СПб'|'ЦТП'|'закрытая'|'ЖКС №2'|'отопление'|'Гкал'|4|'центральная'|89|7|'150/70'|'да'|'нет'|'да'|'да'||'нет'||2661.36|2701.08|504.53|'Д'|428.54|'Д'|418.33|'Д'|281.36|'Д'|125.21|'Д'|||||||||230.6|'Д'|264.14|'Д'|313.1|'Д'|2565.81|1.418|'105-70'|'независимая'|3|'отсутствует'
