||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
12|1201012|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||633,4|538,05|148,48||80,44||56,73||17,44||0||0,7||0,7||0||0||74,45||66,29||78,08||641,96|0,28|'150-70'|'Зависимая'|1|'нет'|
13|1201013|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||678,41|628,82|156,23||86,08||52,28||11,71||0||0||0||0,8||0||69,03||71,73||77,13||646,57|0,28|'150-70'|'Зависимая'|1|'нет'|
14|1201014|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||557,5|537,3|131,75||70,16||46,9||7,52||0||0||0||1,05||0||74,94||62,76||64,4||565,98|0,22|'150-70'|'Зависимая'|1|'нет'|
15|1201015|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1135,32|929,42|222,15||167,73||167,73||150,64||0||1,01||1,01||0||0||108,51||96,65||129,65||1211,8|0,48|'150-70'|'Зависимая'|1|'нет'|
16|1201016|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1551,7|1355,94|347,48||182,42||94,54||30,45||0||1,8||1,8||0||0||153,89||136,92||182,84||1392,21|0,67|'150-70'|'Зависимая'|2|'нет'|
17|1201017|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||507,2|455,44|112,32||66,27||36,03||10,08||0||1||1||0||0||54,86||46,89||57,42||473,31|0,24|'150-70'|'Зависимая'|1|'нет'|
18|1201018|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||457,8|461,44|112,79||64,66||38,99||9,01||0||0,9||0,9||0||0||57,63||54,58||62,94||489,07|0,19|'150-70'|'Зависимая'|1|'нет'|
19|1201019|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1406,02|1383,43|370,63||178,48||118,59||28,23||0||0,96||0,96||0||0||142,36||146,37||184,82||1446,91|0,61|'150-70'|'Зависимая'|1|'нет'|
20|1201020|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||398,06|511,98|118,32||64,3||42,96||11,71||0||1,83||1,83||0||0||61,73||49,61||66,44||511,1|0,24|'150-70'|'Зависимая'|1|'нет'|
21|1201021|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||539,11|511,95|131,29||61,38||48,48||10,88||0||0||0||1,2||0||56,74||66,63||68,39||536,88|0,24|'150-70'|'Зависимая'|1|'нет'|
