||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
142|1201142|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1524,61|1401,72|220,55||157,73||117,57||62,65||16,68||18,97||18,97||18,08||25,89||135,85||132,52||161,23||1286,53|0,69|'150-70'|'Зависимая'|1|'нет'|
143|1201143|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||295,82|309,49|38,82||38,82||38,82||29,65||0||3,2||3,2||0||8,71||28,15||36,35||36,86||298,2|0,15|'150-70'|'Зависимая'|2|'нет'|
144|1201144|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||639,82|694,94|160,8||99,48||58,27||7,98||0||0,86||0,86||0||0||81,61||79,39||81,67||707,41|0,29|'150-70'|'Зависимая'|1|'нет'|
145|1201145|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||481,16|543,33|120,59||68,72||48,05||13,59||0||0,93||0,93||0||0||52,72||61,78||58,55||523,35|0,23|'150-70'|'Зависимая'|1|'нет'|
146|1201146|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||677,27|656,19|164,92||87,8||74,56||20,37||0||0,86||0,86||0||0||69,46||79,66||88,52||727,95|0,29|'150-70'|'Зависимая'|1|'нет'|
147|1201147|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||703,75|664,92|154,57||91,03||58,78||18,59||0||0,1||0,1||0||0||65,88||69,99||88,23||671,51|0,29|'150-70'|'Зависимая'|1|'нет'|
148|1201148|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||529,14|489,31|122,69||64,43||40,16||12,4||0||0,3||0,3||0||0||69,35||85,66||55,32||554,94|0,23|'150-70'|'Зависимая'|1|'нет'|
149|1201149|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||692,41|627,6|146,65||78,69||44,52||15,03||0||0,5||0,5||0||0||74,47||56,81||82,05||621,6|0,29|'150-70'|'Зависимая'|1|'нет'|
150|1201150|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||717,98|735,44|170,78||91,34||59,22||12,78||0||0,09||0,09||0||0||77,4||72,12||96,65||724,25|0,29|'150-70'|'Зависимая'|1|'нет'|
151|1201151|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1803,34|1303,04|182,81||142,09||115,95||58,33||26,01||37,9||37,9||25,45||39,6||120,76||102,87||130,68||1175,3|0,69|'150-70'|'Зависимая'|1|'нет'|
152|1201152|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||547,62|560,58|136,04||71,06||43,7||13,01||0||0,29||0,29||0||0||57,32||53,07||65,67||537,25|0,23|'150-70'|'Зависимая'|1|'нет'|
153|1201153|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||680,33|733,16|182,84||94,29||63,56||16,72||0||0,27||0,27||0||0||65,47||87,92||90,3||730,61|0,29|'150-70'|'Зависимая'|1|'нет'|
154|1201154|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||827,9|680,93|160,42||94,51||58,2||17,35||0||1,34||1,34||0||0||60,64||67,39||88,71||667,28|0,29|'150-70'|'Зависимая'|1|'нет'|
155|1201155|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||518,16|577,03|133,74||68,79||48,76||12,71||0||0,79||0,79||0||0||60,46||55,73||62,78||552,1|0,23|'150-70'|'Зависимая'|1|'нет'|
156|1201156|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||677,12|755,12|157,05||83,26||66,95||17,48||0||0,83||0,83||0||0||94,29||65,45||88,86||701,51|0,29|'150-70'|'Зависимая'|1|'нет'|
157|1201157|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||888,75|801,55|202,14||106,32||75,49||17,06||0||1,5||1,5||0||0||98,57||87,13||100,01||832,32|0,37|'150-70'|'Зависимая'|1|'нет'|
158|1201158|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1657,29|1341,34|217,89||189,5||152,51||71,75||32,49||32,57||32,57||26,73||37,87||123,9||139,54||163,2||1406,81|0,73|'150-70'|'Зависимая'|1|'нет'|
159|1201159|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1535,48|497,39|101,94||86,47||55,33||20,34||0,91||0||0||0||0||39,64||47,31||61,64||148,59|0,22007|'150-70'|'Зависимая'|1|'нет'|
160|1201160|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1482,3|493,21|95,6||90,29||59,95||19,01||1,82||0||0||0||0||44,07||44,39||59,72||148,18|0,22007|'150-70'|'Зависимая'|1|'нет'|
161|1201161|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2781,54|2480,41|393,95||386,17||255,81||161,34||68,88||27,78||27,78||38,75||52,6||189,87||215,19||274,7||798,89|1,26645|'150-70'|'Зависимая'|2|'нет'|
162|1201162|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||3005,17|2859,14|459,94||401,09||279,47||190,35||86,81||51,24||51,24||49,27||64,69||247,13||255,4||288,56||956,29|1,24241|'150-70'|'Зависимая'|2|'нет'|
163|1201163|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||621,32|649,36|129,79||107,57||65,87||26,3||0||0||0||0||0||56,39||63,94||77,11||197,44|0,2894|'150-70'|'Зависимая'|1|'нет'|
164|1201164|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1651,85|1449,7|239,03||166,69||133,74||60,79||31,59||29,41||29,41||30,73||37,27||130,44||132,91||173,78||1399,51|0,71|'150-70'|'Зависимая'|1|'нет'|
165|1201165|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||629,09|576,17|119,57||103,27||72,23||26,76||0||0||0||0||0||46,85||53,92||71,12||171,89|0,2894|'150-70'|'Зависимая'|1|'нет'|
166|1201166|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||861,22|897,34|138,65||131,36||97,61||50,85||23,77||12,84||12,84||15,87||21,29||66,66||78,52||96,08||291,26|0,34549|'150-70'|'Зависимая'|1|'нет'|
167|1201167|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||842,22|873,86|138,91||130,74||96,85||48,81||23,23||12,14||12,14||15,83||19,09||65,56||75,76||88,61||276,99|0,3555|'150-70'|'Зависимая'|1|'нет'|
168|1201168|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||648,84|694,28|153,87||122,73||82,17||30,19||0||0||0||0||0||59,8||74,89||89,29||223,98|0,34568|'150-70'|'Зависимая'|1|'нет'|
169|1201169|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||534,17|373,66|73,54||66,58||45,68||17,44||0||0||0||0||0||28,73||37,42||47,12||113,27|0,18289|'150-70'|'Зависимая'|1|'нет'|
170|1201170|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||662,03|702,15|146,39||132,66||84,7||33,44||0||0||0||0||0||50,8||73,44||90,7||214,94|0,33864|'150-70'|'Зависимая'|1|'нет'|
171|1201171|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||523,65|472,37|95,47||84,17||51,95||20,49||0||0||0||0||0||35,22||41,48||54,94||131,64|0,22007|'150-70'|'Зависимая'|1|'нет'|
172|1201172|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||568,52|523,55|110,91||101,34||62,1||24,43||0||0||0||0||0||41,2||56,25||66,75||164,2|0,2894|'150-70'|'Зависимая'|1|'нет'|
173|1201173|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||552,91|680,87|95,98||95,98||94,78||27,86||0||0||0||0||0||95,24||95,24||95,24||285,72|0,28102|'95-70'|'Зависимая'|0|'нет'|
174|1201174|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||430,51|615,93|84,75||84,75||84,75||24,6||0||0||0||0||0||85,87||85,87||85,87||257,61|0,21879|'95-70'|'Зависимая'|0|'нет'|
175|1201175|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||618,07|879,55|133,81||133,81||133,81||38,85||0||0||0||0||0||133,26||133,26||133,26||399,78|0,31414|'95-70'|'Зависимая'|0|'нет'|
176|1201176|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||'95-70'|'Зависимая'|0|'нет'|
177|1201177|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||289,64|305,32|39,3||39,3||39,3||11,41||0||0||0||0||0||37,91||37,91||37,91||113,73|0,14754|'95-70'|'Зависимая'|0|'нет'|
178|1201178|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1114,1|923,69|120,28||120,28||120,28||34,93||0||0||0||0||0||111,78||111,78||111,78||335,34|0,56706|'95-70'|'Зависимая'|0|'нет'|
179|1201179|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||'95-70'|'Зависимая'|0|'нет'|
180|1201180|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||'95-70'|'Зависимая'|0|'нет'|
181|1201181|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||513,43|501,12|69,53||69,53||69,53||20,19||0||0||0||0||0||68,14||68,14||68,14||204,42|0,26095|'95-70'|'Зависимая'|0|'нет'|
182|1201182|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||266,3|317,8|44,86||45,09||45,09||13,1||0||0||0||0||0||45,28||45,28||45,28||135,84|0,13529|'95-70'|'Зависимая'|0|'нет'|
183|1201183|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||143,49|80,49|9,71||9,76||9,76||2,83||0||0||0||0||0||10,01||10,01||10,01||30,03|0,04303|'95-70'|'Зависимая'|0|'нет'|
184|1201184|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||193,96|246,13|34,99||35,18||35,18||10,21||0||0||0||0||0||34,24||34,24||34,24||102,72|0,09856|'95-70'|'Зависимая'|0|'нет'|
185|1201185|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||634,12|809,4|108,64||109,23||109,23||31,71||0||0||0||0||0||107,26||107,26||107,26||321,78|0,32217|'95-70'|'Зависимая'|0|'нет'|
186|1201186|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||'95-70'|'Зависимая'|0|'нет'|
187|1201187|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||'95-70'|'Зависимая'|0|'нет'|
188|1201188|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1861,96|2333,09|317,56||317,56||317,56||92,21||0||0||0||0||0||302,81||302,81||302,81||908,43|0,94643|'95-70'|'Зависимая'|0|'нет'|
189|1201189|'Ведомственное'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'95-70'|'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||12,29||12,29||12,29||36,87|0|'95-70'|'Зависимая'|0|'нет'|
190|1201190|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||2059,32|1577,32|289,89||207,56||150,99||47,45||19,29||18,64||18,64||16,39||21,33||163,78||169,34||213,98||1592,93|1,149|'120-70'|'Зависимая'|1|'нет'|
191|1201191|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'120-70'|'нет'|'нет'|'нет'|'нет'||'нет'||453,69|497,95|68,11||68,11||68,11||61,18||0||3,8||3,8||0||13,07||54,95||68,02||68,02||541,48|0,22|'120-70'|'Зависимая'|0|'нет'|
192|1201192|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||2146,61|1888,11|328,51||201,15||154,33||59,47||20,19||21,95||21,95||15,88||23,68||178,3||179,86||222,25||1694,23|1,11|'120-70'|'Зависимая'|2|'нет'|
193|1201193|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'120-70'|'нет'|'нет'|'нет'|'нет'||'нет'||399,75|435,64|59,16||59,16||59,16||59,16||0||0||0||0||12,1||46,2||59,58||59,58||473,26|0,2|'120-70'|'Зависимая'|1|'нет'|
194|1201194|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|5||||'120-70'|'нет'|'нет'|'нет'|'нет'||'нет'||6294,71|3413,95|964,81||525,76||330,12||92,97||0||5,06||5,06||0||0||466,71||385,28||532,84||4054,61|2,19|'120-70'|'Зависимая'|5|'нет'|
195|1201195|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2||||'120-70'|'нет'|'нет'|'нет'|'нет'||'нет'||766,83|678,58|180,33||103,29||62,88||18,52||0||2,1||2,1||0||0||133,96||62,86||50,06||758,51|0,33|'120-70'|'Зависимая'|2|'нет'|
196|1201196|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||3079,14|2434,94|509,18||368,3||160,48||117,03||47,84||41,08||41,08||32,05||48,63||275,86||255,37||350,76||2676,47|1,41|'120-70'|'Зависимая'|2|'нет'|
197|1201197|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||856,22|839,53|141,91||129,59||96,23||45,33||21,81||10,2||10,2||13,36||16,07||71,03||80,91||95,23||286,8|0,3661|'120-70'|'Зависимая'|1|'нет'|
198|1201198|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||3194,95|2685,55|518,7||351,29||258,04||104,87||43,23||42,13||42,13||37,63||51,45||276,79||284,95||339,03||2750,55|1,48|'120-70'|'Зависимая'|2|'нет'|
199|1201199|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|4|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||4714,29|5255,37|663,46||662,82||647,55||289,95||197,4||119,03||119,03||53,69||94,99||354,03||417,62||489,57||1528,93|1,72442|'120-70'|'Зависимая'|4|'нет'|
200|1201200|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'120-70'|'нет'|'нет'|'нет'|'нет'||'нет'||2396,71|519,39|97,98||88,67||62,43||23,14||1,82||0||0||0||0||40,93||47,28||58,41||146,62|0,22007|'120-70'|'Зависимая'|1|'нет'|
201|1201201|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||2762,53|1027,59|179,87||159,37||116,03||59,1||24,68||11,87||11,87||18,2||20,94||77,66||89,61||116,66||334,94|0,39872|'120-70'|'Зависимая'|1|'нет'|
202|1201202|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|4|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||4694,06|5196,4|661,42||660,72||661,14||249,11||201,77||115,36||115,36||87,2||117,62||386,28||432,18||518,42||1657,06|1,77578|'120-70'|'Зависимая'|4|'нет'|
203|1201203|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'120-70'|'да'|'нет'|'нет'|'нет'||'нет'||1110,87|1078,85|188,97||169,11||127,58||61,08||26,68||14,86||14,86||20,49||25,1||79,77||100,03||120,64||360,89|0,39872|'120-70'|'Зависимая'|1|'нет'|
204|1201204|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'120-70'|'нет'|'нет'|'нет'|'нет'||'нет'||614,42|641,35|136,54||110,75||76,79||30,64||0||0||0||0||0||44,71||62,75||80,87||188,33|0,30046|'120-70'|'Зависимая'|1|'нет'|
205|1201205|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'120-70'|'нет'|'нет'|'нет'|'нет'||'нет'||532,2|487,57|94,83||79,2||52,38||17,24||0||0||0||0||0||37,28||44,81||56,04||138,13|0,23012|'120-70'|'Зависимая'|1|'нет'|
206|1201206|'"ГУП ""ТЭК СПб"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||721,9|746,16|120,36||106,75||76,17||40,02||21,8||11,48||11,48||15,32||19,9||60,12||69,93||81,99||258,74|0,32441|'150-70'|'Зависимая'|1|'нет'|
207|1201207|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||569,72|521,58|108,96||93,17||52,48||21,07||0||0||0||0||0||43,25||51,03||62,47||156,75|0,33663|'150-70'|'Зависимая'|1|'нет'|
208|1201208|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||549,53|493,43|101,95||89,6||53,04||21,94||0||0||0||0||0||32,97||48,5||60,5||141,97|0,23012|'150-70'|'Зависимая'|1|'нет'|
209|1201209|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||556,18|516,51|105,92||88,28||56,91||23,17||0||0||0||0||0||36,28||48,96||58,25||143,49|0,23012|'150-70'|'Зависимая'|1|'нет'|
210|1201210|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||547,34|484,02|100,96||86,74||54,65||22,5||0||0||0||0||0||41,57||52,97||60,07||154,61|0,23012|'150-70'|'Зависимая'|1|'нет'|
211|1201211|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||602,51|602,84|118,31||108,11||73,81||19,08||1,12||0||0||0||0||39,41||57,44||71,31||168,16|0,29342|'150-70'|'Зависимая'|1|'нет'|
212|1201212|'"ГУП ""ТЭК СПб"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||823,53|819,61|157,17||144,29||89,44||32,17||0,56||0||0||0||0||57,8||81,17||100,73||239,7|0,40295|'150-70'|'Зависимая'|1|'нет'|
213|1201213|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'|||||||||||||||||||||||||||||0,16|'150-70'|'Зависимая'|0|'нет'|
214|1201214|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'|||||||||||||||||||||||||||||0,15|'150-70'|'Зависимая'|0|'нет'|
215|1201215|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'|||||||||||||||||||||||||||||0,28|'150-70'|'Зависимая'|1|'нет'|
216|1201216|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||||||||||||||||||||||||||||||'150-70'|'Зависимая'|0|'нет'|
217|1201217|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'|||||||||||||||||||||||||||||0,22|'150-70'|'Зависимая'|0|'нет'|
