25|'московский'|'Звездное'|'Алтайская ул.'|19|||1201025|'орг-ия с гос. участием'||||1959||5||2|34|2520||1900|620|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
26|'московский'|'Звездное'|'Алтайская ул.'|'20/26'|||1201026|'орг-ия с гос. участием'||||1958||5||5|73|5681||4656|1025|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
27|'московский'|'Звездное'|'Алтайская ул.'|21||'л.А,Б'|1201027|'орг-ия с гос. участием'|||'1-305'|1959||5||6|110|8563||6890|1673|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||2|2||2|
28|'московский'|'Звездное'|'Алтайская ул.'|22|||1201028|'орг-ия с гос. участием'||||1958||5||5|73|5609||4702|907|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
29|'московский'|'Звездное'|'Алтайская ул.'|23|||1201029|'орг-ия с гос. участием'|||'1-305'|1959||5||2|39|2846||2275|571|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
30|'московский'|'Звездное'|'Алтайская ул.'|26|||1201030|'орг-ия с гос. участием'||||1958||5||5|74|5292||4723|569|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
31|'московский'|'Звездное'|'Алтайская ул.'|27|||1201031|'орг-ия с гос. участием'||||1959||5||2|40|1639||1588|51|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||0|
32|'московский'|'Звездное'|'Алтайская ул.'|29|||1201032|'орг-ия с гос. участием'||||1959||5||4|80|3558||3455|103|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
33|'московский'|'Звездное'|'Алтайская ул.'|31|||1201033|'орг-ия с гос. участием'||||1960||5||5|100|4364||4343||'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
34|'московский'|'Звездное'|'Алтайская ул.'|33|||1201034|'орг-ия с гос. участием'||||1960||5||5|100|4340||4321||'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
35|'московский'|'Звездное'|'Алтайская ул.'|35|||1201035|'орг-ия с гос. участием'||||1960||5||5|100|4326||4326||'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
36|'московский'|'Звездное'|'Алтайская ул.'|41|||1201036|'орг-ия с гос. участием'||||1959||5||4|80|3453||3434||'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1|
37|'московский'|'Звездное'|'Алтайская ул.'|43|||1201037|'орг-ия с гос. участием'||||1959||5||2|39|1592||1549||'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||0|
38|'московский'|'Гагаринское'|'Бассейная ул.'|63|||1201038|'орг-ия с гос. участием'||||1962||5||5|100|4579||4530||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
39|'московский'|'Гагаринское'|'Бассейная ул.'|65|||1201039|'орг-ия с гос. участием'||||1962||5||4|80|3597||3545|52|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
40|'московский'|'Гагаринское'|'Бассейная ул.'|67|||1201040|'орг-ия с гос. участием'||||1962||5||6|118|5454||5404|50|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
41|'московский'|'Гагаринское'|'Бассейная ул.'|69|||1201041|'орг-ия с гос. участием'||||1963||5||6|118|5455||5407||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
42|'московский'|'Гагаринское'|'Бассейная ул.'|71|||1201042|'орг-ия с гос. участием'||||1963||5||6|110|5533||5062|471|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
43|'московский'|'Гагаринское'|'Бассейная ул.'|75|||1201043|'орг-ия с гос. участием'||||1962||5||6|110|5447||5045|402|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
44|'московский'|'Гагаринское'|'Витебский   пр.'|19|2||1201044|'орг-ия с гос. участием'||||1979||9||1|134|5561||4393|1168|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|1||1|
45|'московский'|'Гагаринское'|'Витебский   пр.'|21|3||1201045|'орг-ия с гос. участием'||||1965||5||7|139|6932||6871|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
46|'московский'|'Гагаринское'|'Витебский   пр.'|23|1||1201046|'орг-ия с гос. участием'||||1964||5||6|110|5442||5063|379|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
47|'московский'|'Гагаринское'|'Витебский   пр.'|29|2||1201047|'орг-ия с гос. участием'||||1972||9||4|208|9904||9772|132|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|2|1||1|
48|'московский'|'Гагаринское'|'Витебский   пр.'|31|1||1201048|'орг-ия с гос. участием'||||1964||5||7|139|6950||6885|65|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
49|'московский'|'Гагаринское'|'Витебский   пр.'|31|2||1201049|'орг-ия с гос. участием'||||1964||5||6|110|5449||5055|394|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
50|'московский'|'Гагаринское'|'Витебский   пр.'|33|1||1201050|'орг-ия с гос. участием'||||1964||5||7|139|6909||6848|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
51|'московский'|'Гагаринское'|'Витебский   пр.'|33|2||1201051|'орг-ия с гос. участием'||||1964||5||6|110|5429||5055|374|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
52|'московский'|'Гагаринское'|'Витебский   пр.'|41|2||1201052|'орг-ия с гос. участием'||||1964||5||7|139|6918||6857|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
53|'московский'|'Гагаринское'|'Витебский   пр.'|41|3||1201053|'орг-ия с гос. участием'||||1964||5||7|139|6920||6859|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
54|'московский'|'Гагаринское'|'Витебский   пр.'|47|1||1201054|'орг-ия с гос. участием'||||1964||5||7|139|6944||6875|69|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
55|'московский'|'Гагаринское'|'Витебский   пр.'|47|4||1201055|'орг-ия с гос. участием'||||1964||5||6|110|5436||5065|371|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
56|'московский'|'Гагаринское'|'Витебский   пр.'|47|5||1201056|'орг-ия с гос. участием'||||1968||5||7|139|5837||5817||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
57|'московский'|'Гагаринское'|'Витебский   пр.'|49|1||1201057|'орг-ия с гос. участием'|||'1-528КП-41'|1965||9||4|231|11200||11026|174|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|2|1||2|
58|'московский'|'Гагаринское'|'Витебский   пр.'|51|2||1201058|'орг-ия с гос. участием'||||1968||5||7|139|5863||5834||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
59|'московский'|'Гагаринское'|'Витебский   пр.'|53|1||1201059|'орг-ия с гос. участием'||||1964||5||7|139|6941||6888|53|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1|
