'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД) на территории'|||||||||||||||||||||||||||||||||||||
'МОСКОВСКОГО  района'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
18|'московский'|'"""Звездное"""'|'Алтайская ул.'|11|||1201018|'част.управл.орг.с гос.участием'|||'1-405'|1958|1|5||3|60|2599||2535|64|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
19|'московский'|'"""Звездное"""'|'Алтайская ул.'|12|||1201019|'част.управл.орг.с гос.участием'|||'индивид.'|1959|1|' 7/8'||4|104|8803||6824|1979|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|4|2|1||1||
20|'московский'|'"""Звездное"""'|'Алтайская ул.'|13|||1201020|'част.управл.орг.с гос.участием'|||'1-505'|1959|1|5||2|34|2631||1913|718|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
21|'московский'|'"""Звездное"""'|'Алтайская ул.'|14|||1201021|'част.управл.орг.с гос.участием'|||'1-405'|1959|1|5||3|37|2790||2322|468|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
22|'московский'|'"""Звездное"""'|'Алтайская ул.'|16|||1201022|'част.управл.орг.с гос.участием'|||'1-405'|1959|1|5||3|41|2894||2392|502|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
23|'московский'|'"""Звездное"""'|'Алтайская ул.'|17|||1201023|'част.управл.орг.с гос.участием'|||'1-405'|1958|1|5||3|60|2555||2529|26|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
24|'московский'|'"""Звездное"""'|'Алтайская ул.'|'18/19'|||1201024|'част.управл.орг.с гос.участием'|||'1-405'|1959|1|5||5|66|5353||4230|1123|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||0||
25|'московский'|'"""Звездное"""'|'Алтайская ул.'|19|||1201025|'част.управл.орг.с гос.участием'|||'1-405 А'|1959|1|5||2|34|2520||1900|620|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
26|'московский'|'"""Звездное"""'|'Алтайская ул.'|'20/26'|||1201026|'част.управл.орг.с гос.участием'|||'1-415-5'|1958|3|5||5|73|5681||4656|1025|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
27|'московский'|'"""Звездное"""'|'Алтайская ул.'|21||' л.А,Б'|1201027|'част.управл.орг.с гос.участием'|||'1-505'|1959|1|5||6|110|8563||6890|1673|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||2|2||2||
28|'московский'|'"""Звездное"""'|'Алтайская ул.'|22|||1201028|'част.управл.орг.с гос.участием'|||'1-415-5'|1958|3|5||5|73|5609||4702|907|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
29|'московский'|'"""Звездное"""'|'Алтайская ул.'|23|||1201029|'част.управл.орг.с гос.участием'|||'1-505'|1959|1|5||2|39|2846||2275|571|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
30|'московский'|'"""Звездное"""'|'Алтайская ул.'|26|||1201030|'част.управл.орг.с гос.участием'|||'1-415-5'|1958|3|5||5|74|5292||4723|569|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
31|'московский'|'"""Звездное"""'|'Алтайская ул.'|27|||1201031|'част.управл.орг.с гос.участием'|||'1-528 К'|1959|3|5||2|40|1639||1588|51|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||0||
32|'московский'|'"""Звездное"""'|'Алтайская ул.'|29|||1201032|'част.управл.орг.с гос.участием'|||'1-528 К'|1959|3|5||4|80|3558||3455|103|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
33|'московский'|'"""Звездное"""'|'Алтайская ул.'|31|||1201033|'част.управл.орг.с гос.участием'|||'1-528 К'|1960|3|5||5|100|4364||4343|21|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
34|'московский'|'"""Звездное"""'|'Алтайская ул.'|33|||1201034|'част.управл.орг.с гос.участием'|||'1-528 К'|1960|1|5||5|100|4340||4321|19|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
35|'московский'|'"""Звездное"""'|'Алтайская ул.'|35|||1201035|'част.управл.орг.с гос.участием'|||'1-405-А'|1960|1|5||5|100|4326||4326|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
