1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
511|'03_000516'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
512|'03_000517'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
603|'03_000609'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
604|'03_000610'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
606|'03_000612'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
610|'03_000616'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
611|'03_000617'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
619|'03_000625'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
642|'03_000648'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
643|'03_000649'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
644|'03_000650'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
645|'03_000651'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
646|'03_000652'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
647|'03_000653'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
648|'03_000654'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
649|'03_000655'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
650|'03_000656'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
651|'03_000657'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
652|'03_000658'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
653|'03_000659'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
654|'03_000660'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
655|'03_000661'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
656|'03_000662'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
657|'03_000663'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
658|'03_000664'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
659|'03_000665'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
660|'03_000666'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
661|'03_000667'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
662|'03_000668'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
663|'03_000669'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
664|'03_000670'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
665|'03_000671'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
666|'03_000672'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
667|'03_000673'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
668|'03_000674'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
669|'03_000675'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
670|'03_000676'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
672|'03_000678'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
673|'03_000679'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
674|'03_000680'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
675|'03_000681'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
676|'03_000682'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
677|'03_000683'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
678|'03_000684'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
679|'03_000685'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
680|'03_000686'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
681|'03_000687'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
682|'03_000688'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
683|'03_000689'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
684|'03_000690'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
685|'03_000691'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
686|'03_000692'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
687|'03_000693'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
688|'03_000694'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
689|'03_000695'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
690|'03_000696'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
698|'03_000704'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
699|'03_000705'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
700|'03_000706'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
