487|'Выборгский'||'Лесной'|65|2||'03_000492'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
488|'Выборгский'||'Лесной'|65|3||'03_000493'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
490|'Выборгский'||'Лесной'|67|2||'03_000495'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
509|'Выборгский'||'Луначарского'|11|3||'03_000514'|'ЧУО'||'индивидуальный'|'индивидуальный'|2010|'кирпичные'|14|0|5|246|26381|26381|19651.6||'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|11|||||
510|'Выборгский'||'Луначарского'|11|1||'03_000515'|'ЧУО'||'индивидуальный'|'индивидуальный'|2012|'кирпичные'||0|6|700|68650.4|68650.4|47994.6||'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|||||
511|'Выборгский'||'Луначарского'|13|1||'03_000516'|'ЧУО'||'индивидуальный'|'индивидуальный'|2006|'панельные'||0|5|108|29759|29759|26786||'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|11|||||
512|'Выборгский'||'Луначарского'|15|1||'03_000517'|'ЧУО'||'индивидуальный'|'индивидуальный'|2006|'панельные'||0|6|397|46359.5|46359.5|40168||'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|18|||||
603|'Выборгский'||'Новороссийская'|24|0||'03_000609'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
604|'Выборгский'||'Новороссийская'|26|0||'03_000610'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
606|'Выборгский'||'Новороссийская'|28|0||'03_000612'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
610|'Выборгский'||'Новороссийская'|36|0||'03_000616'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
611|'Выборгский'||'Новороссийская'|38|0||'03_000617'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
619|'Выборгский'|'Светлановское'|'Орбели'|17|0||'03_000625'|'ЧУО'||'индивидуальный'|'индивидуальный'|2012|'панельные'|25|0|4|308|15832.6|15832.6|15265.6||'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|||||
642|'Выборгский'|'Светлановское'|'Осиновая роща Приозерское'|10|1||'03_000648'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
643|'Выборгский'|'Светлановское'|'Осиновая роща Приозерское'|12|1||'03_000649'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
644|'Выборгский'|'Светлановское'|'Осиновая роща Приозерское'|12|2||'03_000650'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
645|'Выборгский'|'Светлановское'|'Осиновая роща Приозерское'|14|1||'03_000651'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
646|'Выборгский'|'Светлановское'|'Осиновая роща Приозерское'|14|2||'03_000652'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
647|'Выборгский'|'Светлановское'|'Осиновая роща Приозерское'|14|3||'03_000653'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
648|'Выборгский'|'Светлановское'|'Осиновая роща Приозерское'|14|4||'03_000654'|'орг-ия с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||
