'Приложение № 1'||||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД) на территории'||||||||||||||||||||||||||||||||||||||
'Выборгского района'||||||||||||||||||||||||||||||||||||||
'"Графы ""2""-""10"" заполнять по всем многоквартирным домам района"'||||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Комментарии'|
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса (литера)'|'Номер строения'|'Уникаль ный код дома'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа / на сцепке / аварийный / культ. наследия'|'Тип дома'|'Серия дома'|'Год по стройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-ой парадной)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-ой парадной)"'|'Кол-во парадных'|'Кол-во квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'|||||||||||||||
'(да/нет)"'|'"ГВС'|||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'|||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'|||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'ЭЭ'|'ХВС'|'ГВС'|'ТЭ'|'Газ'||||||||||||||||||||||||||||||||
325|'Выборгский'||'Институтский'|5|11||'03_000327'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб Государственная Лесотехническая академия им. С. М. Кирова'
326|'Выборгский'||'Институтский'|5|13||'03_000328'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб Государственная Лесотехническая академия им. С. М. Кирова'
327|'Выборгский'||'Институтский'|5|6||'03_000329'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб Государственная Лесотехническая академия им. С. М. Кирова'
328|'Выборгский'||'Институтский'|5|7||'03_000330'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб Государственная Лесотехническая академия им. С. М. Кирова'
329|'Выборгский'||'Институтский'|5|8||'03_000331'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб Государственная Лесотехническая академия им. С. М. Кирова'
330|'Выборгский'||'Институтский'|5|9||'03_000332'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб Государственная Лесотехническая академия им. С. М. Кирова'
341|'Выборгский'||'Кантемировская'|24|0||'03_000343'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПбГПУ общежитие'
342|'Выборгский'||'Кантемировская'|26|0||'03_000344'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб педиатрическая академия'
347|'Выборгский'||'Кантемировская'|'16/71'|0||'03_000349'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб педиатрическая академия'
391|'Выборгский'|'"""Шувалово-Озерки"""'|'Корякова'|27|'А'||'03_000395'|'непоср. управление'|||'другое'|2006|'Кирпичные'|3|0|1|8|1314,8|1314,8|1314,8|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0||||||'инд. котельная'|
398|||'Костромской'|14|2||'03_000402'|'Частная управляющая организация'||'другое'|'другое'|2013|'другое'|9|0|2|134|6186,5|6186,5|6050|136,5|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|2|||||||'"ООО ""Управляющая Компания ""Уютный дом"""'
486|'Выборгский'||'Лесной'|65|1||'03_000491'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПбГПУ общежитие'
487|'Выборгский'||'Лесной'|65|2||'03_000492'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'ИНЖЭКОН'
488|'Выборгский'||'Лесной'|65|3||'03_000493'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПбГПУ общежитие'
490|'Выборгский'||'Лесной'|67|2||'03_000495'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб государственный политехнический университет'
509|'Выборгский'||'Луначарского'|11|3||'03_000514'|'Частная управляющая организация'||'индивидуальный'|'индивидуальный'|2010|'Кирпичные'|14|0|5|246|26381|26381|19651,6|6729,4|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|11|||||||'"ООО ""Первая эксплуатационная компания"""'
510|'Выборгский'||'Луначарского'|11|1||'03_000515'|'Частная управляющая организация'||'индивидуальный'|'индивидуальный'|2012|'Кирпичные'|'20-25-27'|0|6|700|68650,4|68650,4|47994,6|20655,8|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|||||||'"ООО ""Первая эксплуатационная компания"""'
511|'Выборгский'||'Луначарского'|13|1||'03_000516'|'Частная управляющая организация'||'индивидуальный'|'индивидуальный'|2006|'Панельные'|'25   9-12-16-25'|0|5|108|29759|29759|26786|2973|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|11|||||||'"ООО ""Первая эксплуатационная компания"""'
512|'Выборгский'||'Луначарского'|15|1||'03_000517'|'Частная управляющая организация'||'индивидуальный'|'индивидуальный'|2006|'Панельные'|'25   25 МЕЗ.'|0|6|397|46359,5|46359,5|40168|6191,5|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|18|||||||'"ООО ""Первая эксплуатационная компания"""'
603|'Выборгский'||'Новороссийская'|24|0||'03_000609'|'орг. с гос. участием'|'ведомственный  дом'|||||||||||||||||||||||||||||'"Военно-Морская Академия им. К.Г. Кузнецова, ОАО ""Славянка"" (госконтракт)"'
604|'Выборгский'||'Новороссийская'|26|0||'03_000610'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб Государственная Лесотехническая академия им. С. М. Кирова'
606|'Выборгский'||'Новороссийская'|28|0||'03_000612'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб Государственная Лесотехническая академия им. С. М. Кирова'
610|'Выборгский'||'Новороссийская'|36|0||'03_000616'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПб Государственная Лесотехническая академия им. С. М. Кирова'
611|'Выборгский'||'Новороссийская'|38|0||'03_000617'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"СПб, КЭЧ района (ж/д), ОАО ""Славянка"" (госконтракт)"'
619|'Выборгский'|'"""Светлановское"""'|'Орбели'|17|0||'03_000625'|'Частная управляющая организация'||'индивидуальный'|'индивидуальный'|2012|'Панельные'|25|0|4|308|15832,6|15832,6|15265,6|567|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|||||||'ООО Жилищная управляющая компания'
642|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|10|1||'03_000648'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
643|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|12|1||'03_000649'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
644|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|12|2||'03_000650'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
645|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|14|1||'03_000651'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
646|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|14|2||'03_000652'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
647|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|14|3||'03_000653'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
648|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|14|4||'03_000654'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
649|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|14|5||'03_000655'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
650|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|14|6||'03_000656'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
651|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|16|1||'03_000657'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
652|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|16|4||'03_000658'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
653|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|1||'03_000659'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
654|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|10||'03_000660'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
655|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|11||'03_000661'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
656|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|2||'03_000662'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
657|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|3||'03_000663'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
658|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|4||'03_000664'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
659|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|6||'03_000665'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
660|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|7||'03_000666'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
661|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|8||'03_000667'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
662|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|18|9||'03_000668'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
663|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|20|5||'03_000669'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
664|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|20|6||'03_000670'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
665|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Приозерское'|22|2||'03_000671'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
666|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|6|3||'03_000672'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
667|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|6|4||'03_000673'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
668|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|6|5||'03_000674'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
669|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|6|6||'03_000675'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
670|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|6|7||'03_000676'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
672|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|8|2||'03_000678'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
673|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|8|3||'03_000679'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
