1|'06_000001'||||||||||||||||||||||||||||||||||||||||||||||||||'разгружен'
48|'06_000048'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||89||'130/70'|'да'|||||||1896.2|1775.4|202.5|'Р'|202.5|'Р'|202.5|'Р'|191.9|'Р'|109.7|'Р'|53.3|'Р'|57.1|'Р'|66.6|'Р'|66.6|'Р'|187.9|'Р'|187.9|'Р'|187.9|'Р'|1716.4|0.4995|'130-70'|'зависимая'|1|
49|'06_000049'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||89||'130/70'|'да'|||||||1239.6|1153.1|134.4|'Р'|134.4|'Р'|134.4|'Р'|127.3|'Р'|71.9|'Р'|31.5|'Р'|33.8|'Р'|39.4|'Р'|39.4|'Р'|119.8|'Р'|119.8|'Р'|118.9|'Р'|1105|0.3287|'130-70'|'зависимая'|1|
50|'06_000050'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||89||'130/70'|'да'|||||||1240.3|1234.8|137.1|'Р'|137.1|'Р'|137.1|'Р'|129.9|'Р'|76.5|'Р'|37.9|'Р'|40.7|'Р'|47.4|'Р'|47.4|'Р'|127.8|'Р'|87.6|'Д'|137.5|'Д'|1144|0.3291|'130-70'|'зависимая'|1|
51|'06_000051'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||76||'130/70'|'да'|||||||449.2|389.5|42.7|'Р'|42.5|'Р'|42.2|'Р'|41.9|'Р'|22.4|'Р'|10.2|'Р'|11.2|'Р'|12.8|'Р'|9.5|'Р'|29|'Д'|36.5|'Д'|46.1|'Д'|347|0.1392|'130-70'|'зависимая'||
52|'06_000052'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||89||'130/70'|'да'|||||||1489.8|1481.6|169|'Р'|169|'Р'|169|'Р'|160.1|'Р'|90.9|'Р'|43.7|'Р'|46.8|'Р'|54.6|'Р'|54.6|'Р'|156.5|'Р'|87.6|'Д'|144.3|'Д'|1346.1|0.3655|'130-70'|'зависимая'|1|
53|'06_000053'||||||||||||||||||||||||||||||||||||||||||||||||||
54|'06_000054'|'ГУП ТЭК СПб'|'ИТП'|'закрытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|0||50||'130/70'|'да'|||||||||||||||||||||||||||||||||||'130-70'|'зависимая'|0|
55|'06_000055'||||||||||||||||||||||||||||||||||||||||||||||||||
56|'06_000056'||||||||||||||||||||||||||||||||||||||||||||||||||
57|'06_000057'||||||||||||||||||||||||||||||||||||||||||||||||||
58|'06_000058'||||||||||||||||||||||||||||||||||||||||||||||||||
59|'06_000059'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||76||'130/70'|'да'|||||||635.5|613.7|110.9|'Д'|109.1|'Д'|104.8|'Д'|77.3|'Д'|60.9|'Д'|18.8|'Р'|20.1|'Р'|23.5|'Р'|23.5|'Р'|85.3|'Р'|63.7|'Д'|52.6|'Д'|750.5|0.215|'130-70'|'зависимая'||
60|'06_000060'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||76||'130/70'|'да'|||||||1051.5|1217.3|155.4|'Р'|155.4|'Р'|155.4|'Р'|153.8|'Р'|84.8|'Р'|37|'Р'|39.7|'Р'|46.3|'Р'|46.3|'Р'|125.2|'Р'|125.2|'Р'|106.7|'Д'|1231.2|0.2874|'130-70'|'зависимая'||
61|'06_000061'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||76||'130/70'|'да'|||||||1164.8|1149.1|139|'Р'|139|'Р'|139|'Р'|137.6|'Р'|72.4|'Р'|32.4|'Р'|34.8|'Р'|40.6|'Р'|40.6|'Р'|121.3|'Р'|124.4|'Р'|174|'Д'|1195.1|0.3033|'130-70'|'зависимая'||
62|'06_000062'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|6||89||'130/70'|'да'|||||||13266.5|10175.4|1826.6|'Д'|1629.8|'Д'|1472.2|'Д'|1217.9|'Д'|747.5|'Д'|271.8|'Д'|139.4|'Д'|231.6|'Д'|271.9|'Д'|1024.6|'Д'|1033.2|'Д'|1292.5|'Д'|11159|3.733|'130-70'|'зависимая'|6|
63|'06_000063'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|2||89||'130/70'|'да'|||||||4133.6|3962.5|499.2|'Р'|499.2|'Р'|499.2|'Р'|475.6|'Р'|276.4|'Р'|113.7|'Р'|121.9|'Р'|142.1|'Р'|142.1|'Р'|385.7|'Р'|387.7|'Р'|387.7|'Р'|3930.5|1.2534|'130-70'|'зависимая'|2|
64|'06_000064'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||89||'130/70'|'да'|||||||1641.8|1513.7|204.1|'Р'|203|'Р'|204.1|'Р'|194.5|'Р'|108.6|'Р'|47.1|'Р'|50.5|'Р'|58.9|'Р'|58.9|'Р'|174.4|'Р'|175.3|'Р'|175.3|'Р'|1654.7|0.437|'130-70'|'зависимая'|1|
65|'06_000065'||||||||||||||||||||||||||||||||||||||||||||||||||
66|'06_000066'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||89||'130/70'|'да'|||||||1904.4|1821.9|205.3|'Р'|204.2|'Р'|205.3|'Р'|195.6|'Р'|110.7|'Р'|53.5|'Р'|57.3|'Р'|66.9|'Р'|66.9|'Р'|189.7|'Р'|190.7|'Р'|192.1|'Р'|1738.2|0.5004|'130-70'|'зависимая'|1|
67|'06_000067'||||||||||||||||||||||||||||||||||||||||||||||||||
68|'06_000068'||||||||||||||||||||||||||||||||||||||||||||||||||
69|'06_000069'|'ГУП ТЭК СПб'|'ЦТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|0||89||'130/70'|'да'|||||||2165.6|2236.6|249.1|'Р'|249.1|'Р'|249.1|'Р'|237.3|'Р'|148.1|'Р'|74.2|'Р'|79.5|'Р'|92.7|'Р'|92.7|'Р'|222.3|'Р'|222.3|'Р'|222.3|'Р'|2138.7|0.6684|'130-70'|'зависимая'|0|
70|'06_000070'|||'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||76||'130/70'|'да'|||||||719.9|846.8|101.3|'Р'|101.3|'Р'|101.3|'Р'|100.4|'Р'|52.7|'Р'|21.6|'Р'|23.2|'Р'|27.1|'Р'|27.1|'Р'|90.1|'Р'|90.1|'Р'|82.3|'Д'|818.5|0.221|'130-70'|'зависимая'||
71|'06_000071'||||||||||||||||||||||||||||||||||||||||||||||||||
72|'06_000072'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||50||'130/70'|'да'|||||||533.1|467.1|96.8|'Д'|92.2|'Д'|112.8|'Д'|80|'Р'|40.5|'Р'|15.3|'Р'|16.4|'Р'|19.2|'Р'|19.2|'Р'|58|'Р'|46.2|'Д'|83.1|'Д'|679.7|0.144|'130-70'|'зависимая'|1|
73|'06_000073'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|2||89||'130/70'|'да'|||||||3866.1|4275.3|530.9|'Р'|530.9|'Р'|530.9|'Р'|522.9|'Р'|307.6|'Р'|145.5|'Р'|155.9|'Р'|181.8|'Р'|181.8|'Р'|439.2|'Р'|439.2|'Р'|437.8|'Р'|4404.4|1.0277|'130-70'|'зависимая'|2|
74|'06_000074'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|2||89||'130/70'|'да'|||||||3666.5|3316.1|471|'Р'|454.2|'Р'|471|'Р'|466.4|'Р'|257.9|'Р'|107.1|'Р'|114.8|'Р'|133.9|'Р'|133.9|'Р'|378.5|'Р'|378.5|'Р'|373.1|'Р'|3740.3|0.9638|'130-70'|'зависимая'|2|
75|'06_000075'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|0||89||'130/70'|'да'|||||||3510.7|3307.4|412.7|'Р'|398|'Р'|412.7|'Р'|408.7|'Р'|226.5|'Р'|101.2|'Р'|108.5|'Р'|126.5|'Р'|126.5|'Р'|339.6|'Р'|339.6|'Р'|339.6|'Р'|3340.1|0.9623|'130-70'|'зависимая'|0|
76|'06_000076'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||89||'130/70'|'да'|||||||740.3|1023.3|148.2|'Д'|180.4|'Р'|156.4|'Д'|148.7|'Р'|80|'Р'|31.8|'Р'|34.1|'Р'|39.7|'Р'|39.7|'Р'|80.9|'Д'|76.9|'Д'|97.3|'Д'|1114.1|0.3309|'130-70'|'зависимая'|1|
77|'06_000077'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||89||'130/70'|'да'|||||||951.6|898.5|162.9|'Д'|158.1|'Д'|160.7|'Д'|146.1|'Р'|82.6|'Р'|35.2|'Р'|37.8|'Р'|44|'Р'|44|'Р'|78.5|'Д'|78.6|'Д'|97.5|'Д'|1126|0.329|'130-70'|'зависимая'|1|
78|'06_000078'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|0||89||'130/70'|'да'|||||||3687.5|3731.7|473.4|'Р'|448.5|'Р'|473.4|'Р'|468.8|'Р'|257|'Р'|110.6|'Р'|118.6|'Р'|138.3|'Р'|138.3|'Р'|384.4|'Р'|384.4|'Р'|383.1|'Р'|3778.8|0.9654|'130-70'|'зависимая'|0|
79|'06_000079'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||76||'130/70'|'да'|||||||463.7|446.1|83.4|'Д'|82.5|'Д'|74.9|'Д'|59|'Д'|58.5|'Д'|20.6|'Р'|22.1|'Р'|25.8|'Р'|25.8|'Р'|58.2|'Д'|53.4|'Д'|85.2|'Д'|649.4|0.249|'130-70'|'зависимая'||
80|'06_000080'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||50||'130/70'|'да'|||||||272.8|255.9|32.1|'Р'|31.9|'Р'|32.3|'Р'|32.5|'Р'|17.7|'Р'|8.9|'Р'|5.2|'Р'|8.9|'Р'|8.6|'Р'|24.3|'Р'|25.6|'Р'|25.6|'Р'|253.6|0.087|'130-70'|'зависимая'||
81|'06_000081'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||50||'130/70'|'да'|||||||258.2|243.4|31.3|'Р'|30.9|'Р'|31.3|'Р'|32.2|'Р'|16.6|'Р'|8.4|'Р'|4.9|'Р'|8.4|'Р'|8.1|'Р'|24.2|'Р'|25.6|'Р'|25.6|'Р'|247.5|0.08|'130-70'|'зависимая'|1|
82|'06_000082'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||50||'130/70'|'да'|||||||536.4|562.6|76.4|'Р'|76|'Р'|76.8|'Р'|77.5|'Р'|41.8|'Р'|18.9|'Р'|11|'Р'|18.8|'Р'|18.2|'Р'|52.8|'Р'|55.6|'Р'|55.6|'Р'|579.4|0.165|'130-70'|'зависимая'|1|
83|'06_000083'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||50||'130/70'|'да'|||||||405.5|412.5|55.3|'Р'|54.5|'Р'|55.3|'Р'|56.8|'Р'|30.8|'Р'|13.5|'Р'|7.9|'Р'|13.4|'Р'|13|'Р'|37.2|'Р'|39.2|'Р'|39.9|'Р'|416.8|0.131|'130-70'|'зависимая'|1|
