12|17000012|'ОАОТГК-1'|'ЦТП'|'открытая'|'ТСЖСлавы 40-4'|'отопление'|'Гкал'|1||80|7.2|'120/70'|'да'|'нет'|'да'|'да'|'элеватор'|'нет'|'прямые параметры'||539.52|272.8|'Д'|171.85|'Д'|265.57|'Д'|132|'Д'|51.51|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|133.84|'Д'|130.1|'Д'|208.09|'Д'|1365.76|0.49|'120-70'||1|'не разгружен'
13|17000013|'ОАОТГК-1'|'ЦТП'|'открытая'|'ТСЖСофийская 29-2'|'отопление'|'Гкал'|1||80|7.2|'120/70'|'да'|'нет'|'да'|'да'|'элеватор'|'нет'|'прямые параметры'||472.956|245.104|'Д'|169.878|'Д'|208.143|'Д'|156.88|'Д'|33.027|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|139.4|'Д'|113.14|'Д'|165.07|'Д'|1230.642|0.6|'120-70'||1|'не разгружен'
14|17000014|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
15|17000015|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
16|17000016|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|2|||||'да'||||||||||||||||||||||||||||||||||||||
17|17000017|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|2|||||'да'||||||||||||||||||||||||||||||||||||||
18|17000018|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
19|17000019|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
20|17000020|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
21|17000021|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
22|17000022|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
23|17000023|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
24|17000024|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
25|17000025|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
