19|2000114|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||||||||||||0||0||0||||||||'404.18'||'404.18'|'485.39'||'зависимая'|1|
20|2000115|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'да'|||||||||||||||||||0||0||0||||||||||0|||'зависимая'||
21|2000116|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'102.53'||'86.04'||'102.53'||'69.72'||'1.8'||0||0||0||||'74.49'||62||'84.43'||'583.54'|'85.02'||'зависимая'|1|
22|2000120|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'нет'|||||||||'23.16'||'23.16'||'23.16'||'16.13'||'1.54'||0||0||0||||'22.4'||19||'28.19'||'156.74'|'129.38'||'зависимая'||
23|2000121|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'208.82'||'160.42'||'203.56'||'144.36'||'53.84'||'28.66'||'16.35'||'16.62'||||'155.17'||'129.29'||'152.85'||'1269.94'|'312.45'||'зависимая'|1|
24|2000124|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'да'|||||||||'142.99'||'103.78'||'147.14'||'83.14'||'24.85'||'17.33'||'13.62'||14||||'94.57'||'84.75'||'107.46'||'833.63'|'208.62'||'зависимая'||
25|2000125|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'154.11'||'112.94'||'159.66'||'83.73'||'29.23'||'22.02'||'17.32'||'17.81'||||'100.33'||'80.4'||'112.52'||'890.07'|'248.92'||'зависимая'|1|
26|2000127|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'226.3'||'177.85'||'174.33'||'84.03'||'35.55'||0||0||0||||'105.26'||'115.82'||'125.36'||'1044.5'|'118.29'||'зависимая'|1|
27|2000128|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'117.02'||'93.56'||'123.38'||'63.67'||'1.8'||0||0||0||||'84.85'||'65.26'||'98.23'||'647.77'|'96.1116'||'зависимая'|1|
28|2000129|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'128.83'||'85.69'||'128.83'||'47.87'||0||0||0||0||||'84.74'||40||'87.36'||'603.32'|'77.63'||'зависимая'|1|
