||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
7|8007|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||2651,15|2653,53|481,2|'Д'|401,67|'Д'|520,74|'Д'|299,38|'Д'|53,36|'Д'|||||||||301,13|'Д'|236,17|'Д'|398,03|'Д'|2691,68|1,2101|'105/70'|'зависимая'|2|'О'|
8|8008|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|3|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||2894,57|3194,85|413,37|'Д'|343,88|'Д'|442,94|'Д'|254,63|'Д'|43,78|'Д'|||||||||307,08|'Д'|220,55|'Д'|371,96|'Д'|2398,19|2,2|'105/70'|'зависимая'|3|'О'|
9|8009|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||945,57|939,83|174,49|'Д'|140,37|'Д'|181,57|'Д'|100,27|'Д'|16,62|'Д'|||||||||106,62|'Д'|81,23|'Д'|132,61|'Д'|933,78|0,44|'105/70'|'зависимая'|1|'О'|
10|8010|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|6|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||7246,87|7016,51|1155,81|'Д'|929,1|'Д'|1206,75|'Д'|705,65|'Д'|103,39|'Д'|||||||||828,01|'Д'|646,26|'Д'|1015,38|'Д'|6590,35|3,0499|'105/70'|'зависимая'|6|'О'|
11|8011|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|5|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||4622,03|4001,02|631,69|'Д'|343,9|'Д'|617,06|'Д'|415,22|'Д'|52,58|'Д'|||||||||458,24|'Д'|357,26|'Д'|573,06|'Д'|3449,01|1,64|'105/70'|'зависимая'|5|'О'|
12|8012|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|3|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||4405,94|4301,4|749,7|'Д'|573,03|'Д'|752,67|'Д'|448,25|'Д'|72,53|'Д'|||||||||539,79|'Д'|377,82|'Д'|633,15|'Д'|4146,94|0,44|'105/70'|'зависимая'|3|'О'|
13|8013|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|4|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||5975,58|6701,9|989,04|'Д'|811,02|'Д'|1046,69|'Д'|595,84|'Д'|102,73|'Д'|||||||||643,06|'Д'|504,59|'Д'|814,32|'Д'|5507,29|2,7799|'105/70'|'зависимая'|4|'О'|
14|8014|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||2607,34|2591|450,59|'Д'|378,5|'Д'|489|'Д'|273,62|'Д'|48,07|'Д'|||||||||316,78|'Д'|235,83|'Д'|388,57|'Д'|2580,96|1,07|'105/70'|'зависимая'|2|'О'|
15|8015|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||2328,56|2300,16|434,17|'Д'|304,92|'Д'|478,71|'Д'|255,06|'Д'|31,08|'Д'|||||||||263|'Д'|214,03|'Д'|369,84|'Д'|2350,81|1,07|'105/70'|'зависимая'|2|'О'|
16|8016|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||2395,05|3556,46|457,09|'Д'|317,3|'Д'|516,85|'Д'|243,56|'Д'|30,76|'Д'|||||||||289,41|'Д'|210,75|'Д'|321,07|'Д'|2386,79|1,07|'105/70'|'зависимая'|2|'О'|
