63|8063|'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|5||89|0|'150/70'|'да'||'да'|'нет'||||5237.9|4267.07|879.3|'Д'|695.08|'Д'|925.86||488.47|'Д'|84.09|'Д'|||||||||622.2|'Д'|390.81|'Д'|734.15|'Д'|4819.96|2.79|'105-70'|'зависимая'|5|
64||'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|2||80|0|'150/70'|'да'||'да'|'нет'||||2242.21|1800.79|369.75|'Д'|285.83|'Д'|406.17||227.71|'Д'|42.65|'Д'|||||||||227.21|'Д'|165.45|'Д'|301.98|'Д'|2026.75|0.99|'105-70'|'зависимая'|2|
65|8065|'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|1||89|0|'150/70'|'да'||'да'|'нет'||||1104.25|1020.04|208|'Д'|154.75|'Д'|231.03||123.84|'Д'|23.55|'Д'|||||||||126.65|'Д'|116.93|'Д'|175.74|'Д'|1160.49||'105-70'|'зависимая'|1|
66||'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|2||89|0|'150/70'|'да'||'да'|'нет'||||2314.3|1609.88|359.5|'Д'|277|'Д'|389.86||213.51|'Д'|39.7|'Д'|||||||||203.36|'Д'|151.47|'Д'|282.92|'Д'|1917.32|0.98|'105-70'|'зависимая'|2|
67||'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|1||80|0|'150/70'|'да'||'да'|'нет'||||991.12|698.96|192.83|'Д'|100.34|'Д'|167.26||85.39|'Д'|14.24|'Д'|||||||||98.06|'Д'|80.5|'Д'|124.08|'Д'|862.7|0.37|'105-70'|'зависимая'|1|
68||'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|4||80|0|'150/70'|'да'||'да'|'нет'||||5016.36|4406.6|879.53|'Д'|597.71|'Д'|876.78||472.49|'Д'|78.38|'Д'|||||||||568.28|'Д'|365.4|'Д'|586.43|'Д'|4425|2.75|'105-70'|'зависимая'|4|
69|8069|'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|4||89|0|'150/70'|'да'||'да'|'нет'||||5415.97|4526.18|642.74|'Д'|520.82|'Д'|747.59||401.33|'Д'|69.25|'Д'|||||||||412.23|'Д'|311.14|'Д'|545.94|'Д'|3651.04|1.46|'105-70'|'независимая'|4|
70||'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|0||89|0|'150/70'|'да'||'да'|'нет'||||808.93|968.2|155.86|'Д'|108.3|'Д'|158.52||77.03|'Д'|20.8|'Д'|||||||||109.37|'Д'|74.41|'Д'|117.17|'Д'|821.46|2.75|'105-70'|'зависимая'|0|
71|8070|'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|4||80|0|'150/70'|'да'||'да'|'нет'||||3354.73|3332.3|605.14|'Д'|429|'Д'|582||311.84|'Д'|62.94|'Д'|||||||||388.8|'Д'|254.49|'Д'|419.53|'Д'|3053.74|1.92|'105-70'|'независимая'|4|
72|8071|'ОАО ТГК-1'|'ИТП'|'открытая'|'ООО СТРОИТЕЛЬ'|'тепловая энергия'|'Гкал'|2||89|0|'150/70'|'да'||'да'|'нет'||||1697.3|1518.99|263.11|'Д'|225.93|'Д'|285.01||198.17|'Д'|48.27|'Д'|||||||||211.75|'Д'|149.39|'Д'|229.52|'Д'|1611.15|0.8|'105-70'|'независимая'|2|
