||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
8|3418|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|2227,02|2628,04|381,9|'р'|381,9|'р'|381,9|'р'|381,9|'Р'|116,33|'р'|0|'р'|0|'р'|0|'р'|0|'р'|320,93|'р'|320,06|'р'|317,9|'р'|2602,82|1,2026|'95/70'|'зависимая'|3|'отсутствует'
9|3419|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|766,82|723,69|191,43|'д'|146,56|'д'|144,06|'д'|98,883|'Д'|38,36|'д'|0|'д'|0|'д'|0|'д'|0|'д'|78,855|'д'|91,568|'д'|118,717|'д'|908,433|0,40832|'105-70'|'зависимая'|1|'отсутствует'
10|34110|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|955,25|973,6|252,36|'д'|212,02|'д'|278|'д'|155|'Д'|77,69|'д'|0|'д'|0|'д'|0|'д'|0|'д'|112,621|'д'|135,215|'д'|165,422|'д'|1388,328|0,58379|'105-70'|'зависимая'|1|'отсутствует'
11|34111|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|5|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|9156,15|6390,09|1578,44|'д'|1236,56|'д'|1234|'д'|818,86|'Д'|487,49|'д'|0|'д'|0|'д'|0|'д'|0|'д'|826,494|'д'|962,028|'д'|1024,06|'д'|8167,932|3,20828|'95/70'|'независимая'|5|'отсутствует'
12|34112|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|4|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|4966,67|5378,01|1557,38|'д'|993,74|'д'|929,52|'д'|686,55|'Д'|291,41|'д'|0|'д'|0|'д'|0|'д'|0|'д'|663,546|'д'|691,192|'д'|833,015|'д'|6646,353|2,76115|'95/70'|'независимая'|4|'отсутствует'
13|34113|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|4|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|6322,37|6751,19|1472,43|'д'|1264,34|'д'|1126,21|'д'|766,07|'Д'|381,3|'д'|0|'д'|0|'д'|0|'д'|0|'д'|657,216|'д'|686,406|'д'|820,607|'д'|7174,579|2,71688|'95/70'|'независимая'|4|'отсутствует'
14|34114|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|6|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|3686,35|3580,16|760,16|'д'|578,29|'д'|578|'д'|462,129|'Д'|187,62|'д'|0|'д'|0|'д'|0|'д'|0|'д'|349,371|'д'|436,171|'д'|530,717|'д'|3882,458|1,78233|'105-70'|'зависимая'|6|'отсутствует'
15|34115|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1578,94|1809,04|377,79|'д'|279,58|'д'|279,19|'д'|190,287|'Д'|81,67|'д'|0|'д'|0|'д'|0|'д'|0|'д'|158,262|'д'|188,719|'д'|217,98|'д'|1773,478|0,75168|'105-70'|'зависимая'|3|'отсутствует'
16|34116|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1915,21|1853,18|274,04|'р'|350,55|'д'|348,19|'д'|237,716|'Д'|102,36|'д'|0|'д'|0|'д'|0|'д'|0|'д'|203,5|'д'|234,11|'д'|286,364|'д'|2036,83|0,9712|'105-70'|'зависимая'|3|'отсутствует'
17|34117|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1586,41|1525,09|448,97|'д'|295,98|'д'|294,86|'д'|228,17|'Д'|96,31|'д'|0|'д'|0|'д'|0|'д'|0|'д'|184,009|'д'|220,959|'д'|262,307|'д'|2031,565|0,92858|'105-70'|'зависимая'|2|'отсутствует'
18|34118|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|552,8|560,31|69,29|'р'|69,29|'р'|69,29|'р'|68,8|'Р'|21,78|'р'|0|'р'|0|'р'|0|'р'|0|'р'|66,37|'д'|70,91|'д'|90,8|'д'|526,53|0,29853|'105-70'|'зависимая'|1|'отсутствует'
19|34119|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1180,35|993,22|263,69|'р'|199,13|'р'|254,3|'р'|135,82|'Р'|27,52|'р'|0|'р'|0|'р'|0|'р'|0|'р'|172,2|'р'|172,66|'р'|172,66|'р'|1397,98|0,77068|'105-70'|'зависимая'|2|'отсутствует'
20|34120|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1921,93|1925,63|439,16|'д'|320,79|'д'|319,43|'д'|223,247|'Д'|110,84|'д'|0|'д'|0|'д'|0|'д'|0|'д'|173,481|'д'|213,372|'д'|263,593|'д'|2063,913|0,92681|'105-70'|'зависимая'|3|'отсутствует'
21|34121|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1019,43|1014,39|263,48|'д'|193,14|'д'|186,84|'д'|125,667|'Д'|51,92|'д'|0|'д'|0|'д'|0|'д'|0|'д'|105,105|'д'|125,158|'д'|160,112|'д'|1211,422|0,5817|'105-70'|'зависимая'|1|'отсутствует'
22|34122|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1594,57|1588,45|406|'д'|315,2|'д'|305,48|'д'|210,696|'Д'|122,16|'д'|0|'д'|0|'д'|0|'д'|0|'д'|165,317|'д'|209,501|'д'|258,027|'д'|1992,381|0,82334|'105-70'|'зависимая'|2|'отсутствует'
