'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД), '|||||||||||||||||||||||||||||||||||||
'"находящихся в управлении ООО ""ЖКС №№ 1-4"", ОАО ""РСУ Приморского района"""'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
15|'Приморский '|'Муниципальный округ № 65'|'Богатырский'|57|3||34115|'ООО ЖКС №1'||'Панельный'|137|1995|'Панельные'|12|0|3|176|9591,8|9591,8|9396,1|195,7|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|2|3|3|3|0|
16|'Приморский '|'Муниципальный округ № 65'|'Гаккелевская'|26|||34116|'ООО ЖКС №1'||'Панельный'|137|1992|'Панельные'|12|0|2|179|12230|12230|12033,8|196,2|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|3|2|2|3|0|
17|'Приморский '|'Муниципальный округ № 65'|'Елагинский'|42|||34117|'ООО ЖКС №1'||'Панельный'|'другое'|1995|'Панельные'|10|0|5|209|11304,9|11304,9|11102,9|202|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|5|2|3|5|2|0|
18|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|2|2||34118|'ООО ЖКС №1'||'Панельный'|137|1992|'Панельные'|12|0|1|57|3487,6|3487,6|3384,7|102,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|3|2|1|1|0|
19|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|6|2||34119|'ООО ЖКС №1'||'Панельный'|137|1992|'Панельные'|14|0|2|136|8036,6|8036,6|7847,3|189,3|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|2|2|2|2|0|
20|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|6|4||34120|'ООО ЖКС №1'||'Панельный'|'другое'|1992|'Панельные'|10|0|5|208|11154,1|11154,1|10983,6|170,5|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|5|2|2|5|3|0|
21|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|12|1||34121|'ООО ЖКС №1'||'Панельный'|'другое'|1990|'Панельные'|10|0|3|119|6875,9|6875,9|6772,8|103,1|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|3|3|2|1|1|0|
22|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|14|||34122|'ООО ЖКС №1'||'Панельный'|137|1990|'Панельные'|12|0|3|177|11071,7|11071,7|10899,6|172,1|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|3|3|3|2|0|
23|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|16|||34123|'ООО ЖКС №1'||'Панельный'|'другое'|1991|'Панельные'|10|0|3|119|6894,3|6894,3|6719,7|174,6|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|3|3|2|1|1|0|
24|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|28|2||34124|'ООО ЖКС №1'||'Панельный'|'другое'|1994|'Панельные'|10|0|4|179|8981,3|8981,3|8839,9|141,4|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|2|2|4|2|0|
