24|'Невский'||'2- й Рабфаковский  пер.'|7|1||12000024|||'хрущевка'|'ПД-1'|1962|'панельные'|5|0|6|90|4136|4078|2579|58|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
25|'Невский'||'2- й Рабфаковский  пер.'|7|2||12000025|||'хрущевка'||1968|'кирпичные'|5|0|4|80|3502|3502|2315||'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0
26|'Невский'||'2- й Рабфаковский  пер.'|8|||12000026|||'хрущевка'|'ПД-4'|1961|'панельные'|5|0|4|60|2732|2732|1728||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
27|'Невский'||'2- й Рабфаковский  пер.'|9|1||12000027|||'хрущевка'|'ПД-1'|1962|'панельные'|5|0|6|90|4064|4064|2562||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
28|'Невский'||'2- й Рабфаковский  пер.'|10|||12000028|||'хрущевка'|'ПД-4'|1961|'панельные'|5|0|4|60|2743|2743|1733||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0
29|'Невский'||'2- й Рабфаковский  пер.'|11|||12000029|||'хрущевка'|'ПД-1'|1962|'панельные'|5|0|6|90|4163|4163|2604||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|0|1|0
30|'Невский'||'2- й Рабфаковский  пер.'|13|||12000030|||'хрущевка'|'ПД-1'|1961|'панельные'|5|0|6|90|4138|4138|2590||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
31|'Невский'||'2- й Рабфаковский  пер.'|14|||12000031|||'хрущевка'|'ПД-4'|1961|'панельные'|5|0|4|60|2770|2770|1735||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0
32|'Невский'||'2- й Рабфаковский  пер.'|18|||12000032|||'хрущевка'||1961|'кирпичные'|5|0|5|80|4750|3496|2345|1254|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|0|1|0
33|'Невский'||'2- й Рабфаковский  пер.'|22|||12000033|||'хрущевка'||1961|'деревянные'|5|0|5|80|4696|3482|2344|1214|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|0|0|0
34|'Невский'||'2- й Рабфаковский  пер.'|17|2||12000034|||'хрущевка'|'1-528КП-41'|1960|'кирпичные'|5|0|3|30|2998|2895|1981|103|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|0|1|0|1|0
35|'Невский'||'2- й Рабфаковский  пер.'|17|4||12000035|||'хрущевка'||1961|'кирпичные'|5|0|3|30|3045|3006|1978||'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0
