|'Приложение№1'|||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||
'№№ п/п'|'Адрес МКД'||||||||||'                                                                                       Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на водах, шт.'|||||'Комментарии'||
|'Район'|'Муниципальное образование'|'Наименование улицы, номер дома'|'Номер дома'|'Номер корпуса'|'Номер строения'|'Уникаль ный код дома'|'Форма управления МКД'|'Управляющая компания'|'Категория дома: ведомственный / общежитие / гостиничного типа / на сцепке / аварийный / культ. наследия'|'Тип дома'|'Серия дома'|'Год постройки'|'"Код материала стен '||||||||||||||||||||||||||
'(1 - кирпич., '||||||||||||||||||||||||||||||||||||||||
'2 - деревян., '||||||||||||||||||||||||||||||||||||||||
'3 - панельн.) "'|'Количество этажей'|'Количество подземных этажей'|'Коли-чество подъ-ездов'|'Количество квартир'|'"Общая площадь дома,'|||||||||||||||||||||||||||||||||||
' м2"'|'Общая отапливаемая площадь строений, м2'|'Площаль жилых помещений, м2'|'"Нежилая площадь дома,'|||||||||||||||||||||||||||||||||||||
' м2"'|'Электроэнергия (да/нет)'|'ХВС  (да/нет)'|'ГВС  (да/нет)'|'Водоотведение  (да/нет)'|'Отопление  (да/нет)'|'Газоснабжение  (да/нет)'|'Газовые колонки  (да/нет)'|'Газовые плиты  (да/нет)'|'Электроплиты  (да/нет)'|'Количество лифтов, шт.'|'ЭЭ'|'ХВС'|'ГВС'|'ТЭ'|'Газ'|||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9||10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38||
||||||||||||||||||||||||||||||||||||||||
13|'Невский'||'2- й Рабфаковский  пер.'|15|2||'12_000013'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-6'|1961|'панель'|5|0|6|91|4146|4146|2598|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
14|'Невский'||'2- й Рабфаковский  пер.'|2|||'12_000014'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'кирп.'|1958|'панель'|5|0|4|56|4468|3340|2146|1128|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|||
15|'Невский'||'2- й Рабфаковский  пер.'|6|||'12_000015'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-4'|1961|'панель'|5|0|4|60|2781|2781|1736|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|||
16|'Невский'||'2- й Рабфаковский  пер.'|17|1||'12_000016'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'кирп.'|1961|'кирпич'|5|0|3|31|3070|3002|1976|68|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
17|'Невский'||'2- й Рабфаковский  пер.'|3|||'12_000017'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-6'|1961|'панель'|5|0|6|90|4137|4137|2589|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
18|'Невский'||'2- й Рабфаковский  пер.'|5|1||'12_000018'|'УПО'|'"ООО ""УК Евротракт"""'||'Сталинские'|'кирп.'|1935|'кирпич'|5|0|4|34|2605|2275|1326|330|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
19|'Невский'||'2- й Рабфаковский  пер.'|5|2||'12_000019'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-4'|1961|'панель'|5|0|4|60|2746|2746|1731|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
20|'Невский'||'2- й Рабфаковский  пер.'|5|3||'12_000020'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-5'|1961|'панель'|5|0|4|60|2734|2734|1727|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
21|'Невский'||'2- й Рабфаковский  пер.'|5|4||'12_000021'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-6'|1961|'панель'|5|0|4|60|2756|2756|1733|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
22|'Невский'||'2- й Рабфаковский  пер.'|5|5||'12_000022'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-7'|1960|'панель'|5|0|4|61|2728|2728|1724|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
23|'Невский'||'2- й Рабфаковский  пер.'|5|6||'12_000023'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-8'|1961|'панель'|5|0|4|60|2749|2749|1730|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|||
24|'Невский'||'2- й Рабфаковский  пер.'|7|1||'12_000024'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-6'|1962|'панель'|5|0|6|90|4136|4078|2579|58|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
25|'Невский'||'2- й Рабфаковский  пер.'|7|2||'12_000025'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'кирп.'|1968|'кирпич'|5|0|4|80|3502|3502|2315|0|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|||
26|'Невский'||'2- й Рабфаковский  пер.'|8|||'12_000026'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-4'|1961|'панель'|5|0|4|60|2732|2732|1728|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
27|'Невский'||'2- й Рабфаковский  пер.'|9|1||'12_000027'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-6'|1962|'панель'|5|0|6|90|4064|4064|2562|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
28|'Невский'||'2- й Рабфаковский  пер.'|10|||'12_000028'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-4'|1961|'панель'|5|0|4|60|2743|2743|1733|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|||
29|'Невский'||'2- й Рабфаковский  пер.'|11|||'12_000029'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-6'|1962|'панель'|5|0|6|90|4163|4163|2604|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|0|1|0|||
30|'Невский'||'2- й Рабфаковский  пер.'|13|||'12_000030'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-6'|1961|'панель'|5|0|6|90|4138|4138|2590|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0|||
31|'Невский'||'2- й Рабфаковский  пер.'|14|||'12_000031'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'ОД-4 '|1961|'панель'|5|0|4|60|2770|2770|1735|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0|||
32|'Невский'||'2- й Рабфаковский  пер.'|18|||'12_000032'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'кирп.'|1961|'кирпич'|5|0|5|80|4750|3496|2345|1254|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|0|1|0|||
33|'Невский'||'2- й Рабфаковский  пер.'|22|||'12_000033'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'кирп.'|1961|'дерев.'|5|0|5|80|4696|3482|2344|1214|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|0|0|0|||
34|'Невский'||'2- й Рабфаковский  пер.'|17|2||'12_000034'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'1-528кп-1'|1960|'кирпич'|5|0|3|30|2998|2895|1981|103|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|0|1|0|1|0|||
35|'Невский'||'2- й Рабфаковский  пер.'|17|4||'12_000035'|'УПО'|'"ООО ""УК Евротракт"""'||'Хрущевка'|'1-532кп-1'|1961|'кирпич'|5|0|3|30|3045|3006|1978|39|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|1|1|0|1|0|||
36|'Невский'||'2- й Рабфаковский  пер.'|17|3||'12_000036'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'Сталинские'|'1-532КП-1'|1960|'кирпич'|5||3|30|3021|2973||48|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|0|1|0|1||||
46|'Невский'||'3-й  Рабфаковский  пер. '|12|2||'12_000046'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'Сталинские'|'1-532КП-1'|1962|'кирпич'|5||3|11|3038|3001||37|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|0|0|1|1|1||||
47|'Невский'||'3-й  Рабфаковский  пер. '|12|3||'12_000047'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'Сталинские'|'кирпич.'|1962|'кирпич'|5||3|33|2884|2830||54|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|0|0|1|1|1||||
58|'Невский'||'Антонова-Овсеенко ул.'|9|1||'12_000058'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'1ЛГ-602В'|1976|'панель'|9||6|224|11725|11707||18|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|6|2|2|2|2||||
59|'Невский'||'Антонова-Овсеенко ул.'|23|2||'12_000059'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'1ЛГ-502В9'|1970|'панель'|5||7|105|3745|3745||0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1||||||
