|||||||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
|||||||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
|||||||3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
6|'1-й Рабфаковский  пер. '|2||'А'|'12_000006'||||||'Отопление'|'Гкал'|||||||||||||||||||||||||||||||||||||||||||||
7|'1-й Рабфаковский  пер. '|4|||'12_000007'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Закрытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'нет'||'есть'|'нет'|'2-х трубн.'|||||124,8|'Д'|121,98|'Д'|112,24|'Д'|77|'Д'|34,41|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|55,44|'Д'|64,17|'Д'|86,17|'Д'|676,21|0,28438|'150\70'|'Зависимая'|1||
8|'1-й Рабфаковский  пер. '|6|||'12_000008'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'-'|'-'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|'-'|'Зависимая'|||'-'|'-'|'-'|'-'|'-'|'-'|||||'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'|'-'||'-'|'-'|'-'||
9|'1-й Рабфаковский  пер. '|11|||'12_000009'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||182,92|'Д'|147,96|'Д'|143,82|'Д'|110,48|'Д'|60,29|'Д'|21,65|'Д'|3,92|'Д'|13,35|'Д'|20,51|'Д'|83,98|'Д'|99,35|'Д'|127,92|'Д'|1016,15|0,29722|'150\70'|'Зависимая'|1||
10|'1-й Рабфаковский  пер. '|3|||'12_000010'|'"ООО УК ""Управление комфортом"""'|||||'Отопление'|'Гкал'|||||||||||||||||||||||||||||||||||||||||||||
11|'2- й Рабфаковский  пер.'|1|1||'12_000011'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ЦТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'95\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||99,67|'Р'|96,57|'Д'|99,67|'Р'|103,2|'Д'|56,75|'Д'|39,26|'Д'|19,99|'Д'|26,62|'Д'|25,31|'Д'|93,27|'Д'|31,6|'Д'|41,97|'Д'|733,88|0,9111|'95\70'|'Зависимая'|0||
12|'2- й Рабфаковский  пер.'|15|1||'12_000012'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||204,29|'Д'|195,84|'Д'|153,09|'Д'|156,98|'Д'|97,04|'Д'|60,21|'Д'|11,27|'Д'|37,44|'Д'|47,36|'Д'|108,37|'Д'|125,16|'Д'|161,19|'Д'|1358,24|0,39536|'150\70'|'Зависимая'|1||
13|'2- й Рабфаковский  пер.'|15|2||'12_000013'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||184,13|'Д'|182,18|'Д'|170,92|'Д'|143,61|'Д'|87,12|'Д'|51,91|'Д'|10,3|'Д'|30,55|'Д'|37|'Д'|105,53|'Д'|120,52|'Д'|152,24|'Д'|1276,01|0,413319|'150\70'|'Зависимая'|1||
14|'2- й Рабфаковский  пер.'|2|||'12_000014'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Закрытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'нет'||'есть'|'нет'|'2-х трубн.'|||||155,68|'Д'|136,42|'Д'|132,57|'Д'|97,43|'Д'|47,3|'Д'|1,45|'Д'|0|'Д'|0|'Д'|0|'Д'|74,96|'Д'|86,44|'Д'|114,33|'Д'|846,58|0,30549|'150\70'|'Зависимая'|1||
15|'2- й Рабфаковский  пер.'|6|||'12_000015'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||124,08|'Д'|117,74|'Д'|110,98|'Д'|88,36|'Д'|51,69|'Д'|32,87|'Д'|3,57|'Д'|18|'Д'|23,78|'Д'|68,97|'Д'|79,99|'Д'|102,89|'Д'|822,92|0,27975|'150\70'|'Зависимая'|1||
