||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
8|'05_000008'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||694,5586|730,21|165,97|'Д'|118,45|'Д'|149,72|'Д'|96,49|'Д'|9,99|'Д'|0||0||0||0||100,83|'Д'|96,92|'Д'|134,63|'Д'|873|||'зависимая'|1||1
9|'05_000009'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||611,9793|651,84|119,19|'Д'|90,98|'Д'|120,13|'Д'|82,65|'Д'|18,92|'Д'|0||0||0||0||75,97|'Д'|65,46|'Д'|96,75|'Д'|670,05|||'зависимая'|1||1
10|'05_000010'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||716,3678|632,81|144,25|'Д'|100,36|'Д'|41,868|'Д'|79,39|'Д'|15,04|'Д'|0||0||0||0||39,05|'Д'|57,32|'Д'|109,29|'Д'|586,57|||'зависимая'|1||1
11|'05_000011'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||629,6965|810,22|149,59|'Д'|115,13|'Д'|78,18|'Д'|90,277|'Д'|17,76|'Д'|0||0||0||0||86,7|'Д'|86,84|'Д'|123,43|'Д'|747,91|||'зависимая'|1||1
12|'05_000012'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||695,6929|709,96|114,02|'Д'|98,23|'Д'|133,72|'Д'|77,8|'Д'|13,96|'Д'|0||0||0||0||69,78|'Д'|80,23|'Д'|103,45|'Д'|691,19|||'зависимая'|1||1
13|'05_000013'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||555,1652|517,13|103,26|'Д'|76,23|'Д'|99,32|'Д'|66,5|'Д'|15,13|'Д'|0||0||0||0||62,14|'Д'|56,33|'Д'|83,39|'Д'|562,3|||'зависимая'|1||1
14|'05_000014'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||1947,108|2045,89|388,84|'Д'|207,08|'Д'|227,17|'Д'|216,87|'Д'|32,65|'Д'|0||0||0||0||258,57|'Д'|207,06|'Д'|277,87|'Д'|1816,11|||'зависимая'|1||1
15|'05_000015'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||979,46887|934,92|191,22|'Д'|102,948|'Д'|179|'Д'|107,65|'Д'|24,45|'Д'|0||0||0||0||111,85|'Д'|111,13|'Д'|154,3|'Д'|982,55|||'зависимая'|1||1
16|'05_000016'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||797,4514|740,33|149,56|'Д'|81,228|'Д'|150,3|'Д'|93,93|'Д'|30,48|'Д'|0||0||0||0||90,68|'Д'|78,13|'Д'|104,86|'Д'|779,17|||'зависимая'|1||1
17|'05_000017'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||713,1123|745,23|164,09|'Д'|94,896|'Д'|153,53|'Д'|102,16|'Д'|21,24|'Д'|0||0||0||0||94,78|'Д'|91,43|'Д'|121,74|'Д'|843,87|||'зависимая'|1||1
18|'05_000018'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||543,385992|488,81|54,1|'Дср'|54,174|'Дср'|54,81|'Дср'|52,038|'Дср'|53,34|'Дср'|0||0||0||0||46,32|'Д'|58,21|'Д'|70,45|'Д'|443,44|||'зависимая'|1||1
19|'05_000019'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||612,4856|613,67|105,3|'Д'|83,97|'Д'|114,16|'Д'|64,61|'Д'|13,39|'Д'|0||0||0||0||66,69|'Д'|59,94|'Д'|82,97|'Д'|591,03|||'зависимая'|1||1
20|'05_000020'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||886,31518|771,17|83,19|'Дср'|83,466|'Дср'|170,64|'Д'|118,66|'Д'|24,22|'Д'|0||0||0||0||104,37|'Д'|96,43|'Д'|141,69|'Д'|822,67|||'зависимая'|1||1
21|'05_000021'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||551,201|557,37|95,59|'Д'|76,71|'Д'|105,75|'Д'|56,14|'Д'|12,33|'Д'|0||0||0||0||56,72|'Д'|56,5|'Д'|76,6|'Д'|536,34|||'зависимая'|1||1
22|'05_000022'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||933,7156|895,53|216,33|'Д'|108,288|'Д'|199,33|'Д'|116,95|'Д'|21,95|'Д'|0||0||0||0||120,39|'Д'|118,04|'Д'|133,72|'Д'|1035|||'зависимая'|1||1
23|'05_000023'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||559,0308|546,91|95,89|'Д'|74,56|'Д'|102,85|'Д'|56,66|'Д'|11,88|'Д'|0||0||0||0||58,24|'Д'|52,66|'Д'|72,94|'Д'|525,68|||'зависимая'|1||1
24|'05_000024'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||831,7337|653,48|68,41|'Дср'|67,584|'Дср'|66,504|'Дср'|68,124|'Дср'|67,884|'Дср'|0||0||0||0||90,38|'Д'|81,97|'Д'|107,16|'Д'|618,02|||'зависимая'|1||1
25|'05_000025'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||358,4768|339,42|60,05|'Д'|47,79|'Д'|65,22|'Д'|36,49|'Д'|7,12|'Д'|0||0||0||0||35,06|'Д'|31,72|'Д'|46,78|'Д'|330,23|||'зависимая'|1||1
26|'05_000026'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||529,8416|548,57|99,41|'Д'|63,702|'Д'|96,08|'Д'|64,89|'Д'|9,64|'Д'|0||0||0||0||58,13|'Д'|43,34|'Д'|87,36|'Д'|522,55|||'зависимая'|1||1
