'Приложение № 1'|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД) на территории'|||||||||||||||||||||||||||||||||||||
'___________________________________ района'|||||||||||||||||||||||||||||||||||||
|'"Графы ""2""-""10"" заполнять по всем многоквартирным домам района"'||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||'                                                               Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Комментарии'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса (литера)'|'Номер строения'|'Уникаль ный код дома'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа / на сцепке / аварийный / культ. наследия'|'Тип дома'|'Серия дома'|'Год по стройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-ой парадной)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-ой парадной)"'|'Кол-во парадных'|'Кол-во квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'ЭЭ'|'ХВС'|'ГВС'|'ТЭ'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
32|'Кронштадтский'||'Владимирская ул'|'д. 49'||||||||'1900г.'||||||732,7||659,7|||||||||||||||||
33|'Кронштадтский'||'Восстания ул'|'д. 16'||||||||'1963г.'||||||1823,2||1612,2|||||||||||||||||
34|'Кронштадтский'||'Восстания ул'|'д. 18'||||||||'1959г.'||||||305,25||277,65|||||||||||||||||
35|'Кронштадтский'||'Восстания ул'|'д. 20'||||||||'1959г.'||||||307,1||276,3|||||||||||||||||
36|'Кронштадтский'||'Восстания ул'|'д. 22'||||||||'1900г.'||||||1770,5||1611,3|||||||||||||||||
37|'Кронштадтский'||'Восстания ул'|'д. 26'||||||||'1965г.'||||||3809,3||3450,3|||||||||||||||||
38|'Кронштадтский'||'Восстания ул'|'д. 5'|'лит. А'|||||||'1837г.'||||||13572,6||11419,7|||||||||||||||||
39|'Кронштадтский'||'Восстания ул'|'д. 58'||||||||'1972г.'||||||4442,52||4061,9|||||||||||||||||
40|'Кронштадтский'||'Восстания ул'|'д. 64'||||||||'1970г.'||||||2748,4||2521,7|||||||||||||||||
41|'Кронштадтский'||'Восстания ул'|'д. 72'|'лит. А'|||||||'1979г.'||||||3579,9||3185,1|||||||||||||||||
42|'Кронштадтский'||'Всеволода Вишневского ул'|'д. 13'|'лит. А'|||||||1958||||||2800||2800|||||||||||||||||
43|'Кронштадтский'||'Всеволода Вишневского ул'|'д. 18'||||||||1973||||||1973||1885|||||||||||||||||
44|'Кронштадтский'||'Всеволода Вишневского ул'|'д. 5'|'лит. А'|||||||'1900г.'||||||2446,7||2175,7|||||||||||||||||
45|'Кронштадтский'||'Всеволода Вишневского ул'|'д. 7/20'|'лит. А'|||||||1922||||||2291,8||1914,8|||||||||||||||||
46|'Кронштадтский'||'Гидростроителей ул'|'д. 10'||||||||'1985г.'||||||15188||11966,3|||||||||||||||||
