1||3|||6|||9||11|12||||||||20|21|22|23||25||27||29||31||33||35||37||39||41||43||45||47||||51|
11|'09_000011'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|0|'центральная'|76|4|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||605.85|632.6155|88.71|'Д'|75.65|'Д'|83.09|'Д'|55.91|'Д'|38.44|'Д'|12.15|'Д'|7.99|'Д'|11.1|'Д'|12.74|'Д'|47.58|'Д'|47.86|'Д'|54.09|'Д'|535.31|0.189|'95-70'|'зависимая'|0|'отсутствует'
12|'09_000012'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|108|4|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||713.32|750.6665|102.37|'Д'|122.27|'Д'|110.94|'Д'|81.61|'Д'|48.98|'Д'|14.17|'Д'|9.49|'Д'|13.66|'Д'|18.46|'Д'|64.49|'Д'|70.87|'Д'|89.62|'Д'|746.93|0.28089|'95-70'|'зависимая'|1|'отсутствует'
13|'09_000013'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|57|4|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||757.34|796.199|128.56|'Д'|118.03|'Д'|114.78|'Д'|86.15|'Д'|50.08|'Д'|12.5|'Д'|7.57|'Д'|10.97|'Д'|14.6|'Д'|66.93|'Д'|72.43|'Д'|94.58|'Д'|777.18|0.27699|'95-70'|'зависимая'|1|'отсутствует'
14|'09_000014'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|57|4.5|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||796.94|838.3925|130.7|'Д'|121.8|'Д'|117.95|'Д'|88.19|'Д'|50.18|'Д'|19.18|'Д'|7.56|'Д'|11.01|'Д'|13.4|'Д'|96.14|'Д'|74.29|'Д'|98.65|'Д'|829.05|0.28432|'95-70'|'зависимая'|1|'отсутствует'
15|'09_000015'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|89|4|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||505.17|538.099|117.52|'Д'|119.96|'Д'|116.69|'Д'|65.76|'Д'|34.5|'Д'|8.55|'Д'|4.54|'Д'|6.6|'Д'|7.78|'Д'|49.27|'Д'|54.48|'Д'|72.93|'Д'|658.58|0.28191|'95-70'|'зависимая'|1|'отсутствует'
16|'09_000016'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|0|'центральная'|89|2.8|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||482.63|506.3375|81.75|'Д'|74.53|'Д'|72.44|'Д'|51.78|'Д'|28.33|'Д'|4.91|'Д'|3.67|'Д'|5.28|'Д'|6.27|'Д'|40.28|'Д'|44.79|'Д'|60.12|'Д'|474.15|0.18687|'95-70'|'зависимая'|1|'отсутствует'
17|'09_000017'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|89|2.5|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||824.45|863.249|127.54|'Д'|114.59|'Д'|114.77|'Д'|84.08|'Д'|46.37|'Д'|12.27|'Д'|7.97|'Д'|10.96|'Д'|14.28|'Д'|60.32|'Д'|82.45|'Д'|100.38|'Д'|775.98|0.353|'95-70'|'зависимая'|1|'отсутствует'
18|'09_000018'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|57|4.2|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||668.41|700.119|97.44|'Д'|90.7|'Д'|88.09|'Д'|65.62|'Д'|70.59|'Д'|10.51|'Д'|7.43|'Д'|10.37|'Д'|11.95|'Д'|50.22|'Д'|57.02|'Д'|74.24|'Д'|634.18|0.27593|'95-70'|'зависимая'|1|'отсутствует'
19|'09_000019'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|0|'центральная'|76|3.4|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||232.26|244.705|31.28|'Р'|32.47|'Р'|30.45|'Р'|32.54|'Р'|12.96|'Р'|4.03|'Р'|5.04|'Р'|6.12|'Р'|5.53|'Р'|29.57|'Р'|29.32|'Р'|29.59|'Р'|248.9|0.1177|'95-70'|'зависимая'|0|'отсутствует'
20|'09_000020'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|0|0|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||130.87|145.126|49.97|'Д'|47.65|'Д'|45.46|'Д'|32.52|'Д'|15.49|'Д'|2.25|'Д'|0.99|'Д'|1.43|'Д'|1.7|'Д'|23.5|'Д'|27.03|'Д'|37.13|'Д'|285.12|0.12746|'95-70'|'зависимая'|1|'отсутствует'
21|'09_000021'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|57|3|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||462.56|491.1105|100.66|'Д'|90.45|'Д'|86.16|'Д'|60.93|'Д'|37.53|'Д'|12.2|'Д'|7.62|'Д'|11.56|'Д'|14.15|'Д'|42.75|'Д'|47.43|'Д'|59.57|'Д'|571.01|0.19106|'95-70'|'зависимая'|1|'отсутствует'
22|'09_000022'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|57|3.7|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||357.1|378.401|66.44|'Д'|63.14|'Д'|60.68|'Д'|46.41|'Д'|30.53|'Д'|11.78|'Д'|7.94|'Д'|10.49|'Д'|11.8|'Д'|33.72|'Д'|37.25|'Д'|45.84|'Д'|426.02|0.14028|'95-70'|'зависимая'|0|'отсутствует'
23|'09_000023'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|57|3.7|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||464.02|487.0955|72.27|'Д'|68.65|'Д'|65.93|'Д'|50.35|'Д'|32.91|'Д'|12.57|'Д'|8.12|'Д'|10.95|'Д'|12.83|'Д'|36.69|'Д'|40.56|'Д'|49.68|'Д'|461.51|0.15294|'95-70'|'зависимая'|1|'отсутствует'
24|'09_000024'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|89|2.4|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||1282.79|1347.366|209.58|'Д'|195.15|'Д'|189.71|'Д'|142.54|'Д'|86.16|'Д'|21.31|'Д'|15.39|'Д'|21.89|'Д'|28.03|'Д'|103.98|'Д'|118.97|'Д'|158.81|'Д'|1291.52|0.44655|'95-70'|'зависимая'|1|'отсутствует'
25|'09_000025'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|89|3.5|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||335.84|348.047|43.11|'Д'|38.42|'Д'|37.98|'Д'|26.31|'Д'|13.85|'Д'|2.38|'Д'|1.83|'Д'|2.39|'Д'|3.1|'Д'|20.36|'Д'|23.44|'Д'|30.97|'Д'|244.14|0.09151|'95-70'|'зависимая'|0|'отсутствует'
26|'09_000026'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|57|2.4|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||621.22|653.283|121.99|'Д'|110.57|'Д'|84.7|'Д'|67.46|'Д'|44.61|'Д'|12.88|'Д'|7.04|'Д'|8.83|'Д'|10.71|'Д'|49.13|'Д'|53.01|'Д'|70.33|'Д'|641.26|0.17981|'95-70'|'зависимая'|1|'отсутствует'
27|'09_000027'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС Кронштадтского района'|'отопление'|'Гкал'|1|'центральная'|79|3.4|'150/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||368.42|386.849|60.84|'Д'|55.76|'Д'|53.56|'Д'|37.53|'Д'|25.9|'Д'|7.37|'Д'|4.8|'Д'|6.71|'Д'|8.13|'Д'|30.11|'Д'|34.22|'Д'|43.65|'Д'|368.58|0.13675|'95-70'|'зависимая'|1|'отсутствует'
