1||3|||6|||9||11|12||||||||20|21|22|23||25||27||29||31||33||35||37||39||41||43||45||47||||51|52
19|'09_000019'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'||'центральная'|||'150/70'|'да'||||'элеватор'|||232.26|244.705|31.28||32.47||30.45||32.54||12.96||4.03||5.04||6.12||5.53||29.57||29.32||29.59|||0.1177||'зависимая'||
20|'09_000020'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||130.87|145.126|49.97||47.65||45.46||32.52||15.49||2.25||0.99||1.43||1.7||23.5||27.03||37.13|||0.12746||'зависимая'|1|
21|'09_000021'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||462.56|491.1105|100.66||90.45||86.16||60.93||37.53||12.2||7.62||11.56||14.15||42.75||47.43||59.57|||0.19106||'зависимая'|1|
22|'09_000022'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||357.1|378.401|66.44||63.14||60.68||46.41||30.53||11.78||7.94||10.49||11.8||33.72||37.25||45.84|||0.14028||'зависимая'||
23|'09_000023'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||464.02|487.0955|72.27||68.65||65.93||50.35||32.91||12.57||8.12||10.95||12.83||36.69||40.56||49.68|||0.15294||'зависимая'|1|
24|'09_000024'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||1282.79|1347.366|209.58||195.15||189.71||142.54||86.16||21.31||15.39||21.89||28.03||103.98||118.97||158.81|||0.44655||'зависимая'|1|
25|'09_000025'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||335.84|348.047|43.11||38.42||37.98||26.31||13.85||2.38||1.83||2.39||3.1||20.36||23.44||30.97|||0.09151||'зависимая'||
26|'09_000026'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||621.22|653.283|121.99||110.57||84.7||67.46||44.61||12.88||7.04||8.83||10.71||49.13||53.01||70.33|||0.17981||'зависимая'|1|
27|'09_000027'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||368.42|386.849|60.84||55.76||53.56||37.53||25.9||7.37||4.8||6.71||8.13||30.11||34.22||43.65|||0.13675||'зависимая'|1|
28|'09_000028'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'||'центральная'|||'150/70'|'да'||||'элеватор'|||717.52|752.991|114.32||103.57||103.4||77.51||44.09||14.26||8.58||12.61||15.82||57.04||69.3||88.92|||0.29025||'зависимая'||
29|'09_000029'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'||'центральная'||||'да'||||'элеватор'|||125.47|133.9095|27.36||24.52||24.13||17.51||21.81||2.12||1.27||1.85||1.95||12.98||14.37||18.92|||0.07172||'зависимая'||
30|'09_000030'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||190.65|200.072|32.01||28.94||28.36||21.44||12.17||3.04||1.75||2.6||2.82||15.54||17.27||22.5|||0.08036||'зависимая'|1|
31|'09_000031'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||1232.63|1295.045|197.12||182.09||178.21||136.53||84.49||23.14||17.75||22.21||29.6||106.29||117.3||153.57|||0.44475||'зависимая'|1|
32|'09_000032'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'||'центральная'|||'150/70'|'да'||||'элеватор'|||254.03|268.1355|45.29||42.5||41.22||29.57||20.46||5.93||4.42||6.49||3.23||22.76||25.62||34.62|||0.12792||'зависимая'||
33|'09_000033'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'||'центральная'|||'150/70'|'да'||||'элеватор'|||165.88|175.0855|31.54||28.26||27.92||20.15||12.29||3.21||1.9||2.9||2.89||14.48||16.11||22.46|||0.07652||'зависимая'||
34|'09_000034'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||601.98|632.813|103.62||95.64||92.53||68.93||40.26||9.43||6.27||10.21||12.05||53.4||60.02||64.3|||0.26714||'зависимая'|1|
35|'09_000035'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||252.62|264.325|40.07||35.81||34.97||27.13||15.11||2.95||2.36||3.26||4.24||20.47||23.07||24.66|||0.09097||'зависимая'|1|
36|'09_000036'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||476.27|502.1095|83.52||77.43||75.9||57.01||33.57||8.62||5.14||8.12||9.45||45.05||48.7||64.28|||0.18083||'зависимая'|1|
37|'09_000037'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'||'центральная'|||'150/70'|'да'||||'элеватор'|||108|113.187|16.96||15.66||15.41||11.4||6.67||1.62||0.96||1.52||1.77||9.04||9.77||12.96|||0.04118||'зависимая'||
38|'09_000038'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'||'центральная'|||'150/70'|'да'||||'элеватор'|||103.54|108.6775|16.86||15.54||15.31||11.28||6.58||1.58||0.94||1.48||1.72||8.95||9.66||12.85|||0.04096||'зависимая'||
39|'09_000039'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||517.34|545.6865|103.72||81.4||85.3||61.21||34.1||9.95||6.99||12.52||11.58||45.55||49.87||64.74|||0.1946||'зависимая'|1|
40|'09_000040'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||979.34|1037.2335|190.21||170.76||166.38||127.96||76.92||22.64||14.65||19.48||23.41||97.5||105.51||142.45|||0.35589||'зависимая'||
41|'09_000041'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'||||92.0165|294.06||271.73||266.37||208.9||123.54||29.05||23.54||31.44||35.3||159.8||171.84||224.76|||3.95646||'зависимая'||
42|'09_000042'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||1261.02|1315.745|181.6||165.82||160.23||119.48||71.6||17.54||12.56||49.41||3.95||89.91||98.26||124.14|||0.44502||'зависимая'|1|
