|||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
|||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1||2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
19|'Велещинского ул'|'д. 12'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||266,93||||||||||||||||||||||||||||||
20|'Велещинского ул'|'д. 14'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||289,43||||||||||||||||||||||||||||||
21|'Велещинского ул'|'д. 15, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||776,12||||||||||||||||||||||||||||||
22|'Велещинского ул'|'д. 19/40'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||180,14||||||||||||||||||||||||||||||
23|'Велещинского ул'|'д. 7/14'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||488,23||||||||||||||||||||||||||||||
24|'Велещинского ул'|'д. 8'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||247,53||||||||||||||||||||||||||||||
25|'Велещинского ул'|'д. 9/13, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||411,91||||||||||||||||||||||||||||||
26|'Владимирская ул'|'д. 17/5'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||116,7||||||||||||||||||||||||||||||
27|'Владимирская ул'|'д. 19'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||130,63||||||||||||||||||||||||||||||
28|'Владимирская ул'|'д. 25'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||766,93||||||||||||||||||||||||||||||
29|'Владимирская ул'|'д. 27'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||212,68||||||||||||||||||||||||||||||
30|'Владимирская ул'|'д. 32'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||144,74||||||||||||||||||||||||||||||
31|'Владимирская ул'|'д. 47'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||398,51||||||||||||||||||||||||||||||
32|'Владимирская ул'|'д. 49'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||161,08||||||||||||||||||||||||||||||
33|'Восстания ул'|'д. 16'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||326,19||||||||||||||||||||||||||||||
34|'Восстания ул'|'д. 18'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||68,05||||||||||||||||||||||||||||||
35|'Восстания ул'|'д. 20'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||68,19||||||||||||||||||||||||||||||
36|'Восстания ул'|'д. 22'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||340,14||||||||||||||||||||||||||||||
37|'Восстания ул'|'д. 26'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||745,72||||||||||||||||||||||||||||||
38|'Восстания ул'|'д. 5, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||1039,82||||||||||||||||||||||||||||||
39|'Восстания ул'|'д. 58'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||686,42||||||||||||||||||||||||||||||
40|'Восстания ул'|'д. 64'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||421,12||||||||||||||||||||||||||||||
41|'Восстания ул'|'д. 72, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||548,39||||||||||||||||||||||||||||||
42|'Всеволода Вишневского ул'|'д. 13, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||362,89||||||||||||||||||||||||||||||
43|'Всеволода Вишневского ул'|'д. 18'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||278,63||||||||||||||||||||||||||||||
44|'Всеволода Вишневского ул'|'д. 5, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||371,48||||||||||||||||||||||||||||||
45|'Всеволода Вишневского ул'|'д. 7/20, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||375,68||||||||||||||||||||||||||||||
46|'Гидростроителей ул'|'д. 10'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||2610,52||||||||||||||||||||||||||||||
47|'Гидростроителей ул'|'д. 4'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||574,11||||||||||||||||||||||||||||||
48|'Гидростроителей ул'|'д. 6'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||1805,79||||||||||||||||||||||||||||||
49|'Гражданская ул'|'д. 11'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||217,11||||||||||||||||||||||||||||||
