||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
161|'16_0161'|'"ООО""МегаСтрой"""'||||'Отопление'|'Гкал'|2|||||'да'|||||||||191,8||163,1||205,13||203,42||51||0||0||0||0||171,94||164,63||176,47||1327,49|'0.65146'||||
162|'16_0162'|'"ООО""МегаСтрой"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||111,42||91,23||110,63||111,34||23,65||0||0||0||0||90,54||81,39||80,45||700,65|'0.41351'||||
163|'16_0163'|'"ООО""МегаСтрой"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||134,22||109,79||133,71||136,61||29,27||0||0||0||0||126,0698||109,82||113,7||893,1898|'0.39692'||||
164|'16_0164'|'"ООО""МегаСтрой"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||104,1||80,85||96,22||107,5||26,16||0||0||0||0||95,48||76,11||83,84||670,26|'0.3461'||||
165|'16_0165'|'"ООО""МегаСтрой"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||90,11||72,46||88,99||91,98||22,83||0||0||0||0||78,0198||64,51||73,06||581,9598|'0.3461'||||
166|'16_0166'|'"ООО ""Софийский бульвар"""'||||'Отопление'|'Гкал'|2|||||'да'|||||||||250,637||189,264||224,571||124,673||23,682||0||0||0||0||122,23||141,424||178,969||1255,45|'0.18350'||||
167|'16_0167'|'"ООО ""Софийский бульвар"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||109,497||99,38||99,38||77,891||15,018||0||0||0||0||71,251||83,383||105,746||661,546|'0.10600'||||
168|'16_0168'|'"ООО ""Софийский бульвар"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||175,66||131,915||157,544||86,443||16,926||0||0||0||0||87,91||100,937||127,02||884,355|'0.1238'||||
169|'16_0169'|'"ООО ""Софийский бульвар"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||106,873||83,782||96,645||53,773||10,186||0||0||0||0||53,041||59,6||75,765||539,665|'0.0729'||||
170|'16_0170'|'"ООО ""Софийский бульвар"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||119,22||79,906||112,611||70,363||14,409||0||0||0||0||70,432||81,053||97,517||645,511|'0.0699'||||
171|'16_0171'|'"ООО ""Софийский бульвар"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||120,842||89,998||102,934||39,778||11,381||0||0||0||0||54,063||61,711||80,38||561,087|'0.0752'||||
172|'16_0172'|'"ООО ""Софийский бульвар"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||109,141||85,167||113,145||62,142||11,762||0||0||0||0||61,615||68,924||88,41||600,306|'0.0684'||||
173|'16_0173'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||299,1237||296,31||293,21||167,41||103,51||0||0||0||0||105,772||120,165||169,715||1555,2157|'0.57920'||||
174|'16_0174'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||65,3||57,64||57,26||42,63||19,52||0||0||0||0||32,63||34,87||47,41||357,26|'0.16300'||||
175|'16_0175'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||153,6163||140,79||154,9223||64,2416||45,73||0||0||0||0||72,74||79,93||106,84||818,8102|'0.35700'||||
